Site,SampleID,nitrate,phosphate,np,stemp,spH,sdo,microcystin,Btemp,BpH,Bdo
LR_6_1,6-1_LR,0.98,0.13,7.54,22.21,7.94,8.04,0.91,21.07,6.63,5.41
LR_6_8,6-8_LR,0.93,0.11,8.45,20.21,8.52,9.17,0.29,18.96,7.43,6.02
LR_6_16,6-16_LR,0.6,0.11,5.45,22.11,8.87,9.1,0.27,21.52,8.24,6.38
LR_6_19,6-19_LR,0.61,0.11,5.55,23.54,7.76,8.37,0.18,21.91,6.58,6.84
LR_7_8,7-8_LR,2.13,0.11,19.36,28.01,7.87,7.42,0.24,27.73,7.08,4.94
LR_7_14,7-14_LR,1,0.11,9.09,26.78,8.48,8.57,0.24,26.44,7.51,5.76
LR_7_22,7-22_LR,0.79,0.11,7.18,25.88,7.91,8.97,0.56,25.47,6.65,6.02
LR_7_28,7-28_LR,0.53,0.11,4.82,27.81,8.58,9.93,1.28,26.65,6.92,6.01
LR_8_4,8-4_LR,0.46,0.11,4.18,24.03,8.77,8.65,7.98,23.87,7.52,5.95
LR_8_12,8-12_LR,2.13,0.11,19.36,24.12,8.33,7.88,5.14,23.97,6.58,5.24
LR_8_18,8-18_LR,0.42,0.11,3.82,24.3,7.85,7.53,0.96,23.4,7.72,5.33
LR_8_26,8-26_LR,0.84,0.11,7.64,23.21,8.18,8.41,0.46,22.62,6.68,4.96
LR_9_1,9-1_LR,0.53,0.11,4.82,23.97,8.17,8.43,1,23.09,6.89,6.22
LR_9_9,9-9_LR,0.36,0.11,3.27,25.73,8.16,9.49,1.47,25.16,7.8,5.52
LR_9_16,9-16_LR,0.86,0.11,7.82,21.23,7.74,6.85,8.29,20.13,7.05,5.52
LM_6_1,6-1_LM,0.42,0.11,3.82,23.11,7.54,6.95,0.42,,,
LM_6_8,6-8_LM,0.41,0.11,3.73,20.6,8.54,7.01,0.13,,,
LM_6_16,6-16_LM,0.74,0.11,6.73,21.32,8.68,7.59,0.95,,,
LM_6_19,6-19_LM,0.68,0.11,6.18,23.33,8.36,7.86,0.21,,,
LM_7_8,7-8_LM,1.73,0.11,15.73,26.64,7.68,4.23,0.09,,,
LM_7_14,7-14_LM,3.63,0.29,12.52,25.63,7.11,4.72,0.48,,,
LM_7_22,7-22_LM,2.44,0.57,4.28,26.32,7.61,5.79,0.31,,,
LM_7_28,7-28_LM,0.44,0.18,2.44,27.32,7.93,6.21,0.27,,,
LM_8_4,8-4_LM,0.59,0.23,2.57,24.39,8.01,6.8,0.44,,,
LM_8_12,8-12_LM,0.89,0.32,2.78,24.08,7.84,5.26,0.13,,,
LM_8_18,8-18_LM,0.52,0.29,1.79,24.84,7.63,6.38,0.13,,,
LM_8_26,8-26_LM,0.74,0.49,1.51,24.42,7.76,5.49,0.12,,,
LM_9_1,9-1_LM,1.38,0.62,2.23,23.72,8.12,7.31,0.26,,,
LM_9_9,9-9_LM,1.13,0.51,2.22,25.37,7.75,6.77,0.49,,,
LM_9_16,9-16_LM,2.95,1.06,2.78,22.16,8.01,4.49,0.17,,,
TTL_6_1,6-1_TTL,0.4,0.14,2.86,20.27,6.12,6.18,0.46,20.51,6.21,5.87
TTL_6_8,6-8_TTL,0.7,0.21,3.33,17.85,9.14,7.06,0.27,17.41,7.92,2.34
TTL_6_16,6-16_TTL,0.55,0.19,2.89,21.19,5.77,5.29,0.39,20.63,6.22,1.47
TTL_6_19,6-19_TTL,0.61,0.19,3.21,22.65,8.82,6.76,0.23,21.9,8.31,2.84
TTL_7_8,7-8_TTL,1.24,0.26,4.77,26.75,8.54,1.52,0.22,25.43,6.73,0.47
TTL_7_14,7-14_TTL,0.96,0.11,8.73,25.28,8.38,6.37,0.44,23.55,7.23,0.91
TTL_7_22,7-22_TTL,0.56,0.11,5.09,25.84,7.72,8.84,0.46,25.23,6.55,5.13
TTL_7_28,7-28_TTL,0.51,0.11,4.64,27.61,9.16,7.66,0.44,24.73,7.89,1.01
TTL_8_4,8-4_TTL,0.46,0.11,4.18,22.91,8.3,3.72,0.43,22.86,7.84,1.39
TTL_8_12,8-12_TTL,0.64,0.11,5.82,23.61,7.29,8.27,0.43,23.01,6.4,3.72
TTL_8_18,8-18_TTL,0.43,0.11,3.91,23.79,8.17,7.68,0.13,23.05,6.49,4.2
TTL_8_26,8-26_TTL,0.51,0.15,3.4,23.33,7.93,6.45,0.07,21.4,6.27,0.31
TTL_9_1,9-1_TTL,0.58,0.11,5.27,23.06,7.01,8.65,0.1,22.17,6.65,1.02
TTL_9_9,9-9_TTL,0.49,0.11,4.45,25.19,8.64,8.78,0.24,24.53,5.96,3.82
TTL_9_16,9-16_TTL,0.61,0.11,5.55,20.24,7.22,8.91,0.27,20.08,6.41,5.73
