,16S-LM-6-1,16S-LM-6-16,16S-LM-6-19,16S-LM-6-8,16S-LM-7-14,16S-LM-7-22,16S-LM-7-28,16S-LM-7-8,16S-LM-8-12,16S-LM-8-18,16S-LM-8-26,16S-LM-8-4,16S-LM-9-1,16S-LM-9-16,16S-LM-9-9,16S-LR-6-1,16S-LR-6-16,16S-LR-6-19,16S-LR-6-8,16S-LR-7-14,16S-LR-7-22,16S-LR-7-28,16S-LR-7-8,16S-LR-8-12,16S-LR-8-18,16S-LR-8-26,16S-LR-8-4,16S-LR-9-1,16S-LR-9-16,16S-LR-9-9,16S-TTL-6-1,16S-TTL-6-16,16S-TTL-6-19,16S-TTL-6-8,16S-TTL-7-14,16S-TTL-7-22,16S-TTL-7-28,16S-TTL-7-8,16S-TTL-8-12,16S-TTL-8-18,16S-TTL-8-26,16S-TTL-8-4,16S-TTL-9-1,16S-TTL-9-16,16S-TTL-9-9,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxa
ASV_1,30,0,0,57,281,173,125,37,1107,444,135,208,106,469,0,0,0,0,63,31,97,64,203,412,190,371,0,166,348,317,0,0,0,0,0,0,0,0,31,39,32,73,196,84,123,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_2,0,0,0,0,0,101,665,0,671,1515,1998,720,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_3,0,0,0,0,0,68,604,0,648,1277,1691,697,0,54,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_4,70,0,0,0,194,120,103,46,942,376,0,165,80,405,0,40,0,0,52,60,79,51,0,352,176,323,0,119,262,261,0,0,0,0,0,0,0,0,79,49,70,32,134,54,128,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,554,879,350,477,364,45,57,0,252,63,0,0,0,0,0,0,0,0,0,0,115,0,891,46,377,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_6,0,0,28,0,36,107,0,314,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1160,0,428,1612,387,176,0,0,0,118,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Aphanizomenon,NA,Aphanizomenon
ASV_7,31,0,0,43,178,105,91,27,894,324,147,143,61,353,0,0,0,0,43,33,79,42,0,331,149,237,0,118,272,195,0,0,0,0,0,0,0,0,38,44,18,61,119,68,99,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_8,111,91,0,33,0,0,99,0,106,62,131,252,62,171,190,96,287,300,342,232,55,119,119,114,114,96,0,71,95,98,0,0,0,0,0,0,0,72,204,149,0,69,77,125,166,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11-clade,Clade-III,NA,NA,NA
ASV_9,0,0,0,0,0,61,494,0,510,1011,1421,600,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,433,796,302,433,303,30,50,0,191,35,0,0,0,0,0,0,40,0,0,0,126,0,757,45,292,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_11,0,69,43,0,86,0,0,262,0,0,0,0,0,0,0,0,112,0,91,0,0,0,0,0,0,0,0,0,0,0,0,54,959,108,376,1417,327,147,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,NA,NA,NA
ASV_12,45,67,0,0,168,80,64,37,786,275,0,128,74,307,0,34,0,0,55,35,52,31,0,294,128,223,0,96,228,189,0,0,0,0,0,0,0,0,69,22,57,18,103,41,81,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_13,0,0,0,0,0,57,432,0,442,989,1284,463,0,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_14,0,0,0,0,193,122,73,21,758,311,0,119,69,323,0,0,0,0,0,34,60,49,0,300,142,230,0,126,201,252,0,0,0,0,0,0,0,0,0,38,12,76,103,0,101,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_15,0,0,0,0,0,59,413,0,437,864,1292,472,0,53,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_16,18,0,0,0,168,101,69,22,696,245,0,93,46,235,0,0,0,0,91,62,54,38,0,267,105,214,224,99,209,218,0,0,0,0,0,0,0,0,32,31,57,0,119,0,91,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_17,0,0,0,0,105,62,418,40,424,865,1148,450,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_18,0,0,0,0,0,0,0,0,0,0,81,72,398,106,479,0,72,0,0,461,289,250,261,40,29,75,63,78,138,295,0,0,0,0,0,0,0,0,0,0,0,0,81,166,123,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA,Dolichospermum
ASV_19,0,0,0,0,0,58,380,0,407,885,1251,454,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_20,0,0,0,0,0,51,455,0,405,853,1148,419,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,417,574,275,324,227,45,45,0,167,42,0,0,0,0,0,0,0,0,0,0,99,0,630,37,269,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_22,22,0,0,47,175,106,59,25,664,276,99,112,65,264,0,0,0,0,43,21,56,38,0,252,108,206,0,91,163,149,0,0,0,0,0,0,0,0,13,32,14,38,84,67,70,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_23,0,0,0,0,0,74,398,0,418,889,1104,425,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_24,86,0,0,30,0,0,72,0,96,39,0,0,42,111,169,80,256,252,322,247,54,97,105,101,87,89,0,28,0,101,0,0,0,0,0,90,0,0,162,126,62,61,90,89,122,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11-clade,Clade-III,NA,NA,NA
ASV_25,0,0,0,0,0,35,337,0,346,740,1087,388,195,47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_26,0,0,0,0,0,44,362,0,370,737,1166,446,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_27,0,0,35,0,26,115,0,219,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,802,0,302,1095,263,95,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Aphanizomenon,NA,Aphanizomenon
ASV_28,0,0,0,41,155,84,74,21,691,257,0,98,78,234,0,0,0,0,0,0,49,34,0,250,137,230,0,91,222,198,0,0,0,0,0,0,0,0,0,0,0,16,92,54,53,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_29,0,0,0,0,0,58,360,0,359,792,1097,419,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_30,96,92,0,26,0,0,78,0,72,36,153,135,40,116,117,74,198,174,282,172,44,75,87,66,73,74,0,50,46,73,0,0,0,0,0,0,0,45,178,115,0,55,76,100,104,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11-clade,Clade-III,NA,NA,NA
ASV_31,0,0,0,0,155,85,64,0,682,254,0,104,69,282,0,0,0,0,0,28,67,49,0,241,107,198,0,102,191,193,0,0,0,0,0,0,0,0,0,33,0,0,101,0,83,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_32,45,0,0,0,116,84,58,29,603,220,0,85,58,250,0,35,0,0,44,39,53,23,0,220,112,202,0,65,177,150,0,0,0,0,0,0,0,0,55,34,55,15,84,37,72,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_33,0,0,0,0,0,44,315,0,382,703,1062,407,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_34,0,0,0,0,0,47,345,0,372,724,1000,391,0,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_35,0,0,0,0,0,63,350,0,342,757,1024,357,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,302,499,237,300,272,57,37,0,136,0,0,0,0,0,0,0,0,0,0,0,99,0,545,32,239,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_37,0,0,0,0,141,81,56,74,619,221,0,102,86,262,0,0,0,0,0,0,58,24,0,253,104,211,0,95,147,188,0,0,0,0,0,0,0,0,0,26,0,0,91,0,61,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,337,508,210,327,216,35,46,0,138,22,0,0,0,0,0,0,44,0,0,0,68,0,557,21,204,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_39,44,103,78,43,0,0,0,0,0,65,0,0,42,162,71,0,146,169,214,0,0,173,0,0,198,263,0,0,0,0,129,256,0,0,0,0,0,94,0,44,0,289,0,179,111,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA,hgcI-clade
ASV_40,103,306,39,0,204,70,471,146,342,134,174,255,210,0,95,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,126,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Woronichinia,NA,Woronichinia
ASV_41,105,21,63,0,0,0,100,160,0,45,0,0,86,40,106,58,118,112,93,183,41,56,105,56,81,52,0,156,0,41,90,0,164,119,0,193,0,0,56,50,0,46,88,90,89,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA,hgcI-clade
ASV_42,0,0,0,0,0,59,279,0,339,686,1056,400,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_43,0,0,0,0,0,65,314,0,326,683,1007,429,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,328,538,214,282,209,30,33,0,133,42,0,0,0,0,0,0,0,0,0,0,74,0,523,27,245,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_45,57,97,109,44,50,37,0,56,37,32,0,0,44,69,73,0,73,75,131,218,65,49,96,103,85,41,0,0,200,0,0,60,108,84,74,0,0,79,122,71,0,99,65,138,104,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,NA,NA,NA
ASV_46,0,0,0,0,147,91,63,100,542,204,0,92,62,209,0,81,0,0,0,0,34,0,0,166,89,150,0,82,158,178,0,0,0,0,0,0,0,0,80,50,56,0,74,65,63,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_47,0,58,28,0,62,0,0,177,0,0,0,0,0,0,0,0,64,0,63,0,0,0,0,0,0,0,0,0,0,0,0,39,720,0,283,988,251,94,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Aphanizomenon,NA,Aphanizomenon
ASV_48,49,82,78,58,47,69,105,36,30,22,0,0,42,53,31,161,60,36,111,189,52,109,81,107,101,63,0,69,0,0,47,52,80,79,56,178,0,71,75,58,0,79,77,97,24,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,NA,NA,NA
ASV_49,0,0,0,0,134,69,46,0,651,233,0,104,64,252,0,0,0,0,0,0,51,36,0,204,84,204,0,83,177,188,0,0,0,0,0,0,0,0,0,37,0,16,90,0,68,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_50,86,0,0,74,138,71,47,0,552,229,0,118,59,213,0,0,0,0,0,60,46,26,0,199,121,167,0,89,163,155,0,0,0,0,0,0,0,0,0,25,0,0,84,0,49,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_51,13,0,0,36,116,80,36,19,563,192,93,87,67,194,0,0,0,0,27,9,58,27,41,211,95,187,0,73,157,131,0,0,0,0,0,0,0,0,17,23,5,30,74,32,58,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,352,503,217,277,196,0,47,0,165,36,0,0,0,0,0,0,0,0,0,0,60,0,467,46,207,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_53,0,0,0,27,130,72,50,0,596,228,0,81,64,209,0,0,0,0,0,0,50,29,0,226,114,193,0,78,173,161,0,0,0,0,0,0,0,0,0,29,0,30,92,0,82,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_54,0,0,25,0,0,0,0,247,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,705,0,266,962,244,111,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Aphanizomenon,NA,Aphanizomenon
ASV_55,0,0,0,0,0,43,290,0,371,634,942,325,0,28,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,311,466,197,288,198,28,33,0,148,0,0,0,0,0,0,0,0,0,0,0,70,0,519,34,211,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_57,0,0,0,0,0,44,305,0,358,630,929,331,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,272,506,204,240,190,15,44,0,113,21,0,0,0,0,0,0,31,0,0,0,81,80,468,28,206,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_59,0,0,0,0,0,44,296,0,322,666,906,366,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_60,0,0,0,0,0,39,274,0,339,644,972,334,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,294,515,144,264,206,30,44,0,140,0,0,0,0,0,0,0,0,0,0,0,65,0,496,49,210,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,249,0,72,79,0,631,308,90,189,267,553,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_63,0,0,0,0,0,39,305,0,290,683,914,345,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_64,0,0,0,0,0,0,0,0,0,0,25,0,305,0,445,0,0,196,0,424,237,241,196,40,56,50,69,78,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA,Dolichospermum
ASV_65,0,0,0,0,144,79,51,38,533,201,0,98,60,253,0,0,0,0,0,0,49,32,0,217,116,183,0,76,168,149,0,0,0,0,0,0,0,0,0,27,0,0,74,0,47,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_66,0,0,0,0,121,71,52,0,508,217,0,107,51,211,0,0,0,0,0,32,39,28,0,191,98,191,0,88,147,160,0,0,0,0,0,0,0,0,0,21,67,31,94,0,68,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_67,0,18,97,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,46,668,0,253,942,234,108,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Aphanizomenon,NA,Aphanizomenon
ASV_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,291,492,170,285,189,0,43,0,157,76,0,0,0,0,0,0,0,0,0,0,50,0,482,0,211,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA,FukuN18-freshwater-group
ASV_69,0,0,0,0,51,0,0,172,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,38,703,0,223,919,234,101,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,NA,NA,NA
ASV_70,90,279,54,0,165,57,421,114,250,100,153,211,189,0,71,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,63,0,37,0,0,189,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Woronichinia,NA,Woronichinia
ASV_71,0,0,10,0,13,76,0,178,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,620,0,260,935,217,107,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Aphanizomenon,NA,Aphanizomenon
ASV_72,74,0,114,17,0,0,65,0,68,38,0,0,38,95,125,59,211,201,250,167,41,79,78,62,69,60,0,0,0,64,0,0,0,0,0,0,0,0,128,94,0,63,76,99,100,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11-clade,Clade-III,NA,NA,NA
ASV_73,0,0,0,0,0,57,276,0,297,586,934,348,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_74,0,0,0,0,149,69,58,19,575,164,0,99,37,187,0,0,0,0,0,29,48,28,0,187,98,166,0,87,144,128,0,0,0,0,0,0,0,0,0,31,23,61,64,0,69,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
ASV_75,0,0,0,0,0,0,0,0,0,0,46,75,280,63,329,0,62,0,0,343,192,177,171,35,31,35,63,59,112,201,0,0,0,0,0,0,0,0,0,0,0,0,62,83,77,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA,Dolichospermum
ASV_76,0,0,0,0,85,43,243,0,307,606,837,322,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA,Planktothrix
ASV_77,19,0,0,0,118,75,49,21,555,173,0,73,44,179,0,0,0,0,69,32,41,27,0,192,100,130,0,79,162,131,0,0,0,0,0,0,0,0,26,20,36,0,77,0,51,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA,Terrimicrobium
