asvID,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species
ASV_1,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Occidodiaptomus,NA
ASV_2,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,NA
ASV_3,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Daphnia,Daphnia_magna
ASV_4,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Gonium,Gonium_pectorale
ASV_5,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,Cypridopsis_adusta
ASV_6,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Spizellomycetales,Spizellomycetales_X,Spizellomycetales_XX,Spizellomycetales_XX_sp.
ASV_7,Eukaryota,Cryptista,Kathablepharidacea,Kathablepharida,Kathablepharidea,Kathablepharidida,Kathablepharidida_X,Kathablepharidida_XX,Kathablepharidida_XX_sp.
ASV_8,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Occidodiaptomus,NA
ASV_9,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Bosmina,Bosmina_longirostris
ASV_10,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis
ASV_11,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA
ASV_12,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Spizellomycetales,Spizellomycetaceae,NA,NA
ASV_13,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,Stephanodiscus_hantzschii
ASV_14,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Peronosporales,NA,NA
ASV_15,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Desmodesmus,Desmodesmus_pannonicus
ASV_16,Eukaryota,TSAR,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
ASV_17,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Tetraedron,Tetraedron_minimum
ASV_18,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Occidodiaptomus,NA
ASV_19,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Closterium,NA
ASV_20,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Synurales,Synuraceae,Mallomonas,Mallomonas_acaroides
ASV_21,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis
ASV_22,Eukaryota,TSAR,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellida_CHR1,Colpodellida_CHR1_X,Colpodellida_CHR1_X_sp.
ASV_23,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Peronosporales,NA,NA
ASV_24,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Darwinula,Darwinula_stevensoni
ASV_25,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Zygophlyctidales,Zygophlyctidaceae,Zygophlyctis,NA
ASV_26,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA
ASV_27,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Saprolegniales,Saprolegniales_X,Saprolegniales_X_sp.
ASV_28,Eukaryota,TSAR,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
ASV_29,Eukaryota,Obazoa,Opisthokonta,Fungi,Zoopagomycota,Entomophthoromycotina,Entomophthorales,Entomophthora,Entomophthora_muscae
ASV_30,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmaceae_X,Scenedesmaceae_X_sp.
ASV_31,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Saprolegniales,Aphanomyces,NA
ASV_32,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA
ASV_33,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,NA
ASV_34,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Occidodiaptomus,NA
ASV_35,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis
ASV_36,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Rhodotorula,Rhodotorula_phylloplana
ASV_37,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.
ASV_38,Eukaryota,Obazoa,Opisthokonta,Fungi,Rozellomycota,Rozellomycota_X,Rozellomycota_XX,Rozella,Rozella_allomycis
ASV_39,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA
ASV_40,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Daphnia,Daphnia_magna
ASV_41,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,Crucigenia,Crucigenia_pulchra
ASV_42,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,Ceratium_hirundinella
ASV_43,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Bicoecales,Bicoecaceae,Bicosoeca,Bicosoeca_petiolata
ASV_44,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis
ASV_45,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,NA,NA,NA,NA
ASV_46,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,NA,NA,NA,NA
ASV_47,Eukaryota,TSAR,Stramenopiles,Bigyra,Opalozoa,Opalozoa_X,MAST-12,MAST-12C,MAST-12C_sp.
ASV_48,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Poterioochromonas,Poterioochromonas_stipitata
ASV_49,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_nannoplanctica
ASV_50,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Daphnia,Daphnia_magna
ASV_51,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA
ASV_52,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,NA,NA,NA
ASV_53,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Kappamycetaceae,Kappamyces,Kappamyces_sp.
ASV_54,Eukaryota,TSAR,Stramenopiles,Bigyra,Opalozoa,Opalozoa_X,MAST-12,MAST-12_X,MAST-12_X_sp.
ASV_55,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.
ASV_56,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,NA,NA,NA,NA
ASV_57,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.
ASV_58,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,NA
ASV_59,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Chytridiales,Chytridiaceae,Chytridium,Chytridium_polysiphoniae
ASV_60,Eukaryota,Obazoa,Opisthokonta,Ichthyosporea,Ichthyophonida,Pseudoperkinsidae,Pseudoperkinsidae_X,Pseudoperkinsidae_XX,Pseudoperkinsidae_XX_sp.
ASV_61,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis
ASV_62,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_nannoplanctica
ASV_63,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Occidodiaptomus,NA
ASV_64,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Peronosporales,NA,NA
ASV_65,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Saprolegniales,Aphanomyces,Aphanomyces_invadans
ASV_66,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,Micractinium,Micractinium_reisseri
ASV_67,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Daphnia,Daphnia_magna
ASV_68,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Chlorochromonas,Chlorochromonas_sp.
ASV_69,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,NA,NA,NA
ASV_70,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,Chaetonotus_sp.
ASV_71,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.
ASV_72,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_vulgaris
ASV_73,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.
ASV_74,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.
ASV_75,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.
ASV_76,Eukaryota,TSAR,Rhizaria,Cercozoa,Novel-clade-10-12,Novel-clade-10,Novel-clade-10_X,Novel-clade-10_XX,Novel-clade-10_XX_sp.
ASV_77,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Bicoecales,Bicoecaceae,Bicoecaceae_X,Bicoecaceae_X_sp.
ASV_78,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pediastrum,Pediastrum_duplex
ASV_79,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Actinotaenium,Actinotaenium_cruciferum
ASV_80,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Daphnia,Daphnia_magna
ASV_81,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.
ASV_82,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Bicoecales,Bicoecaceae,Bicoecaceae_X,Bicoecaceae_X_sp.
ASV_83,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Tetraedron,Tetraedron_minimum
ASV_84,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,NA,NA,NA
ASV_85,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chromulinales,Chrysosphaerellaceae,Chrysosphaerella,Chrysosphaerella_brevispina
ASV_86,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Closterium,NA
ASV_87,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.
ASV_88,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Closterium,Closterium_sp.
ASV_89,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_pyrenoidifera
ASV_90,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA
ASV_91,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA
ASV_92,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Oedogoniales,Oedogoniales_X,Oedogonium,Oedogonium_sp.
ASV_93,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Oedogoniales,Oedogoniales_X,Oedogonium,Oedogonium_sp.
ASV_94,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA
ASV_95,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Occidodiaptomus,NA
ASV_96,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Occidodiaptomus,NA
ASV_97,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Zygophlyctidales,Zygophlyctidaceae,Zygophlyctis,Zygophlyctis_melosirae
ASV_98,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Gonium,Gonium_pectorale
