SampleID,Lake,Year,Date,Stemp,Btemp,SpH,BpH,SDO,BDO,MC,NO3,PO4,N:P
LM-6-24-22,Lake Mohegan,2022,6/24/2022,23.88,,6.98,,6.58,,0.48,3.87,1.68,2.31
LM-7-7-22,Lake Mohegan,2022,7/7/2022,26.79,,8.44,,5.27,,,1.29,0.76,1.7
LM-7-17-22,Lake Mohegan,2022,7/17/2022,28.41,,8.7,,5.74,,,0.2,0.82,0.24
LM-7-24-22,Lake Mohegan,2022,7/24/2022,29.8,,8.51,,4.46,,,2.11,0.45,4.64
LM-7-31-22,Lake Mohegan,2022,7/31/2022,28.8,,7.73,,7.38,,,1,0.19,5.28
LM-8-8-22,Lake Mohegan,2022,8/8/2022,29.56,,8.36,,4.49,,,0.15,0.12,1.25
LM-8-15-22,Lake Mohegan,2022,8/15/2022,28.08,,8.97,,6.86,,1.5,0.13,0.08,1.55
LM-8-26-22,Lake Mohegan,2022,8/26/2022,26.65,,8.41,,5.61,,,2.46,0.07,36.45
LM-9-5-22,Lake Mohegan,2022,9/5/2022,26.79,,8.6,,7.23,,0.2,3.11,0.08,39.97
LM-9-11-22,Lake Mohegan,2022,9/11/2022,24.14,,8.12,,6.65,,3.24,2.3,0.07,34.58
LM-9-18-22,Lake Mohegan,2022,9/18/2022,23.25,,8.26,,5.83,,2.75,4.24,0.24,17.37
LM-9-26-22,Lake Mohegan,2022,9/26/2022,20.37,,7.72,,8.86,,1.27,1.48,0.07,22.69
LR-6-24-22,Lake Rippowam,2022,6/24/2022,22.25,21.72,7.91,6.8,9.13,8.35,0.22,0.51,0.09,5.98
LR-7-7-22,Lake Rippowam,2022,7/7/2022,26.82,26.32,9.08,8.92,7.43,6.88,,2.56,0.08,32.49
LR-7-17-22,Lake Rippowam,2022,7/17/2022,28.57,27.13,9.18,8.33,7.69,7.24,0.18,3.22,0.06,50.11
LR-7-24-22,Lake Rippowam,2022,7/24/2022,29.36,28.2,9.41,9.45,7.24,6.94,,2.23,0.05,40.87
LR-7-31-22,Lake Rippowam,2022,7/31/2022,28.47,27.62,8.4,8.52,8.09,7.78,0.17,2.43,0.06,37.63
LR-8-8-22,Lake Rippowam,2022,8/8/2022,30.06,29.53,8.83,8.36,7.84,6.74,,2.44,0.05,49.39
LR-8-15-22,Lake Rippowam,2022,8/15/2022,28.08,27.2,9.44,8.63,8.53,5.42,,1.39,0.05,27.77
LR-8-26-22,Lake Rippowam,2022,8/26/2022,26.2,26.01,9.25,8.05,4.92,2.22,6.25,1.63,0.06,29.35
LR-9-5-22,Lake Rippowam,2022,9/5/2022,25.74,25.12,9.39,7.59,8.76,4.13,4.39,1.62,0.06,29.34
LR-9-11-22,Lake Rippowam,2022,9/11/2022,22.58,22.35,8.47,7.41,8.78,4.82,0.19,1.88,,
LR-9-18-22,Lake Rippowam,2022,9/18/2022,20.72,20.66,8.87,6.94,4.71,1.85,0.39,1.21,0.06,21.29
LR-9-26-22,Lake Rippowam,2022,9/26/2022,17.52,17.59,5.17,4.95,6.71,2.87,0.26,2.11,0.05,39.13
TTL-6-24-22,Teatown Lake,2022,6/24/2022,22.78,21.86,6.72,6.48,4.69,1.86,0.16,0.54,0.07,7.93
TTL-7-7-22,Teatown Lake,2022,7/7/2022,28.02,26.48,7.61,6.94,4.75,1.14,,0.29,0.13,2.25
TTL-7-17-22,Teatown Lake,2022,7/17/2022,26.95,25.85,8.64,7.21,2.67,0.66,,,0.16,
TTL-7-24-22,Teatown Lake,2022,7/24/2022,29.71,29.06,10.07,8.83,8.43,5.87,,,0.12,
TTL-7-31-22,Teatown Lake,2022,7/31/2022,28.1,27.41,8.4,6.66,8.19,4.57,,1.05,0.06,17.97
TTL-8-8-22,Teatown Lake,2022,8/8/2022,29.23,28.87,9.21,8.49,5.85,2.71,,,,
TTL-8-15-22,Teatown Lake,2022,8/15/2022,25.41,24.63,9.91,7.32,8.26,2.57,0.2,0.31,0.05,6.12
TTL-8-26-22,Teatown Lake,2022,8/26/2022,26.78,26.7,9.19,8.65,7.66,6.21,0.21,3.63,0.05,70.26
TTL-9-5-22,Teatown Lake,2022,9/5/2022,25.76,25.48,9.08,8.41,7.42,5.61,0.29,1.05,0.06,17.97
TTL-9-11-22,Teatown Lake,2022,9/11/2022,23.58,23.51,8.43,7.29,7.42,5.88,0.22,0.12,0.06,2.1
TTL-9-18-22,Teatown Lake,2022,9/18/2022,22.79,22.15,7.33,7.75,8.21,4.82,0.26,3.17,0.08,39.43
TTL-9-26-22,Teatown Lake,2022,9/26/2022,20.88,20.58,7.71,7.38,5.61,4.11,0.16,0.81,0.05,16.18
LM-6-1-23,Lake Mohegan,2023,6/1/2023,23.11,,7.54,,6.95,,0.42,0.42,,
LM-6-8-23,Lake Mohegan,2023,6/8/2023,20.6,,8.54,,7.01,,,0.41,,
LM-6-16-23,Lake Mohegan,2023,6/16/2023,21.32,,8.68,,7.59,,0.95,0.74,,
LM-6-19-23,Lake Mohegan,2023,6/19/2023,23.33,,8.36,,7.86,,0.21,0.68,,
LM-7-8-23,Lake Mohegan,2023,7/8/2023,26.64,,7.68,,4.23,,,1.73,,
LM-7-14-23,Lake Mohegan,2023,7/14/2023,25.63,,7.11,,4.72,,0.48,3.63,0.29,12.52
LM-7-22-23,Lake Mohegan,2023,7/22/2023,26.32,,7.61,,5.79,,0.31,2.44,0.57,4.28
LM-7-28-23,Lake Mohegan,2023,7/28/2023,27.32,,7.93,,6.21,,0.27,0.44,0.18,2.44
