"Lake","Month","Date_Sam","Taxa","RelAbund"
"Lake Mohegan","August","8-04_LM","Dolichospermum",0.0259196102314251
"Lake Mohegan","August","8-04_LM","Planktothrix",0.848867235079172
"Lake Mohegan","August","8-04_LM","Woronichinia",0.118830694275274
"Lake Mohegan","August","8-12_LM","Aphanizomenon",0.0231897531246772
"Lake Mohegan","August","8-12_LM","Planktothrix",0.816444582171263
"Lake Mohegan","August","8-12_LM","Woronichinia",0.1538064249561
"Lake Mohegan","August","8-18_LM","Planktothrix",0.950274576066622
"Lake Mohegan","August","8-18_LM","Woronichinia",0.0385311689095408
"Lake Mohegan","August","8-26_LM","Dolichospermum",0.0153274023545849
"Lake Mohegan","August","8-26_LM","Planktothrix",0.938320560498038
"Lake Mohegan","August","8-26_LM","Woronichinia",0.0408045858930369
"Lake Mohegan","July","7-08_LM","Aphanizomenon",0.71519659936238
"Lake Mohegan","July","7-08_LM","Dolichospermum",0.0422422954303932
"Lake Mohegan","July","7-08_LM","Leptolyngbya",0.012221041445271
"Lake Mohegan","July","7-08_LM","Microcystis",0.0217853347502657
"Lake Mohegan","July","7-08_LM","Woronichinia",0.203241232731137
"Lake Mohegan","July","7-14_LM","Aphanizomenon",0.150343924009171
"Lake Mohegan","July","7-14_LM","Microcystis",0.0733704552898788
"Lake Mohegan","July","7-14_LM","Planktothrix",0.104814936128398
"Lake Mohegan","July","7-14_LM","Woronichinia",0.666885031116934
"Lake Mohegan","July","7-18_LM","Microcystis",0.0115491835921943
"Lake Mohegan","July","7-18_LM","Planktothrix",0.725806451612903
"Lake Mohegan","July","7-18_LM","Woronichinia",0.257218239745121
"Lake Mohegan","July","7-22_LM","Aphanizomenon",0.0887961859356377
"Lake Mohegan","July","7-22_LM","Microcystis",0.0810488676996424
"Lake Mohegan","July","7-22_LM","Planktothrix",0.611442193087008
"Lake Mohegan","July","7-22_LM","Woronichinia",0.210965435041716
"Lake Mohegan","June","6-01_LM","Aphanizomenon",0.0523138832997988
"Lake Mohegan","June","6-01_LM","Lacustricoccus",0.10261569416499
"Lake Mohegan","June","6-01_LM","Microcystis",0.191649899396378
"Lake Mohegan","June","6-01_LM","Vulcanococcus",0.112173038229376
"Lake Mohegan","June","6-01_LM","Woronichinia",0.533199195171026
"Lake Mohegan","June","6-08_LM","Aphanizomenon",0.0625
"Lake Mohegan","June","6-08_LM","Microcystis",0.117424242424242
"Lake Mohegan","June","6-08_LM","Woronichinia",0.820075757575758
"Lake Mohegan","June","6-16_LM","Aphanizomenon",0.0682336832496577
"Lake Mohegan","June","6-16_LM","Microcystis",0.0700593336376084
"Lake Mohegan","June","6-16_LM","Planktothrix",0.0116385212231858
"Lake Mohegan","June","6-16_LM","Woronichinia",0.846873573710634
"Lake Mohegan","June","6-19_LM","Aphanizomenon",0.51421188630491
"Lake Mohegan","June","6-19_LM","Dolichospermum",0.0129198966408269
"Lake Mohegan","June","6-19_LM","Microcystis",0.140826873385013
"Lake Mohegan","June","6-19_LM","Woronichinia",0.319121447028424
"Lake Mohegan","September","9-01_LM","Dolichospermum",0.701551754540645
"Lake Mohegan","September","9-01_LM","Microcystis",0.0669194145653324
"Lake Mohegan","September","9-01_LM","Planktothrix",0.0255686827719979
"Lake Mohegan","September","9-01_LM","Woronichinia",0.19555633926997
"Lake Mohegan","September","9-09_LM","Dolichospermum",0.720661909822377
"Lake Mohegan","September","9-09_LM","Microcystis",0.0405343859116441
"Lake Mohegan","September","9-09_LM","Planktothrix",0.169272810080462
"Lake Mohegan","September","9-09_LM","Woronichinia",0.0614088355852437
"Lake Mohegan","September","9-16_LM","Cuspidothrix",0.0915750915750916
"Lake Mohegan","September","9-16_LM","Dolichospermum",0.425824175824176
"Lake Mohegan","September","9-16_LM","Planktothrix",0.267399267399267
"Lake Mohegan","September","9-16_LM","Woronichinia",0.212454212454212
