"Lake","Month","Date_Sam","Phylum","RelAbund"
"Lake Mohegan","August","8-04_LM","Acidobacteriota",0.00260424286759327
"Lake Mohegan","August","8-04_LM","Actinobacteriota",0.0165325530358449
"Lake Mohegan","August","8-04_LM","Aenigmarchaeota",0
"Lake Mohegan","August","8-04_LM","Armatimonadota",0.0122604242867593
"Lake Mohegan","August","8-04_LM","Bacteroidota",0.0582297000731529
"Lake Mohegan","August","8-04_LM","Bdellovibrionota",0.00424286759326993
"Lake Mohegan","August","8-04_LM","Calditrichota",0
"Lake Mohegan","August","8-04_LM","Campylobacterota",0
"Lake Mohegan","August","8-04_LM","Chloroflexi",0.00207754206291148
"Lake Mohegan","August","8-04_LM","Cloacimonadota",0
"Lake Mohegan","August","8-04_LM","Crenarchaeota",0
"Lake Mohegan","August","8-04_LM","Cyanobacteriota",0.601872713972202
"Lake Mohegan","August","8-04_LM","Deinococcota",0
"Lake Mohegan","August","8-04_LM","Dependentiae",0
"Lake Mohegan","August","8-04_LM","Desulfobacterota",0.00634967081199707
"Lake Mohegan","August","8-04_LM","Elusimicrobiota",0
"Lake Mohegan","August","8-04_LM","Euryarchaeota",0
"Lake Mohegan","August","8-04_LM","Fermentibacterota",0
"Lake Mohegan","August","8-04_LM","Fibrobacterota",0
"Lake Mohegan","August","8-04_LM","Firmicutes",0.0152158010241405
"Lake Mohegan","August","8-04_LM","Fusobacteriota",0
"Lake Mohegan","August","8-04_LM","Gemmatimonadota",0
"Lake Mohegan","August","8-04_LM","Halobacterota",0
"Lake Mohegan","August","8-04_LM","Hydrogenedentes",0
"Lake Mohegan","August","8-04_LM","Latescibacterota",0
"Lake Mohegan","August","8-04_LM","Methylomirabilota",0
"Lake Mohegan","August","8-04_LM","Micrarchaeota",0
"Lake Mohegan","August","8-04_LM","Modulibacteria",0
"Lake Mohegan","August","8-04_LM","Myxococcota",0.000877834674469642
"Lake Mohegan","August","8-04_LM","Nanoarchaeota",0
"Lake Mohegan","August","8-04_LM","Nitrospirota",0
"Lake Mohegan","August","8-04_LM","Patescibacteria",0
"Lake Mohegan","August","8-04_LM","Planctomycetota",0.0397366495976591
"Lake Mohegan","August","8-04_LM","Proteobacteria",0.109729334308705
"Lake Mohegan","August","8-04_LM","Spirochaetota",0
"Lake Mohegan","August","8-04_LM","Sumerlaeota",0
"Lake Mohegan","August","8-04_LM","Thermoplasmatota",0
"Lake Mohegan","August","8-04_LM","Verrucomicrobiota",0.130270665691295
"Lake Mohegan","August","8-12_LM","Acidobacteriota",0
"Lake Mohegan","August","8-12_LM","Actinobacteriota",0.0588540446467419
"Lake Mohegan","August","8-12_LM","Aenigmarchaeota",0
"Lake Mohegan","August","8-12_LM","Armatimonadota",0.00814953646373707
"Lake Mohegan","August","8-12_LM","Bacteroidota",0.0778305833528565
"Lake Mohegan","August","8-12_LM","Bdellovibrionota",0.00396599618461127
"Lake Mohegan","August","8-12_LM","Calditrichota",0
"Lake Mohegan","August","8-12_LM","Campylobacterota",0
"Lake Mohegan","August","8-12_LM","Chloroflexi",0.00304561732320359
"Lake Mohegan","August","8-12_LM","Cloacimonadota",0
"Lake Mohegan","August","8-12_LM","Crenarchaeota",0
"Lake Mohegan","August","8-12_LM","Cyanobacteriota",0.324006827537736
"Lake Mohegan","August","8-12_LM","Deinococcota",0.000451822350145587
"Lake Mohegan","August","8-12_LM","Dependentiae",0
"Lake Mohegan","August","8-12_LM","Desulfobacterota",0
"Lake Mohegan","August","8-12_LM","Elusimicrobiota",0
"Lake Mohegan","August","8-12_LM","Euryarchaeota",0
"Lake Mohegan","August","8-12_LM","Fermentibacterota",0
"Lake Mohegan","August","8-12_LM","Fibrobacterota",0
"Lake Mohegan","August","8-12_LM","Firmicutes",0.000200809933398039
"Lake Mohegan","August","8-12_LM","Fusobacteriota",0
"Lake Mohegan","August","8-12_LM","Gemmatimonadota",0
"Lake Mohegan","August","8-12_LM","Halobacterota",0
"Lake Mohegan","August","8-12_LM","Hydrogenedentes",0.000100404966699019
"Lake Mohegan","August","8-12_LM","Latescibacterota",0
"Lake Mohegan","August","8-12_LM","Methylomirabilota",0
"Lake Mohegan","August","8-12_LM","Micrarchaeota",0
"Lake Mohegan","August","8-12_LM","Modulibacteria",0
"Lake Mohegan","August","8-12_LM","Myxococcota",0.00256032665082499
"Lake Mohegan","August","8-12_LM","Nanoarchaeota",0
"Lake Mohegan","August","8-12_LM","Nitrospirota",0
"Lake Mohegan","August","8-12_LM","Patescibacteria",0
"Lake Mohegan","August","8-12_LM","Planctomycetota",0.00721242344121289
"Lake Mohegan","August","8-12_LM","Proteobacteria",0.102011446166204
"Lake Mohegan","August","8-12_LM","Spirochaetota",0
"Lake Mohegan","August","8-12_LM","Sumerlaeota",0
"Lake Mohegan","August","8-12_LM","Thermoplasmatota",0
"Lake Mohegan","August","8-12_LM","Verrucomicrobiota",0.41161016098263
"Lake Mohegan","August","8-18_LM","Acidobacteriota",0.000484383129115014
"Lake Mohegan","August","8-18_LM","Actinobacteriota",0.0791517913205719
"Lake Mohegan","August","8-18_LM","Aenigmarchaeota",0
"Lake Mohegan","August","8-18_LM","Armatimonadota",0.0156437810588256
"Lake Mohegan","August","8-18_LM","Bacteroidota",0.0603146696327658
"Lake Mohegan","August","8-18_LM","Bdellovibrionota",0.000340862201969825
"Lake Mohegan","August","8-18_LM","Calditrichota",0
"Lake Mohegan","August","8-18_LM","Campylobacterota",7.17604635725947e-05
"Lake Mohegan","August","8-18_LM","Chloroflexi",0.00577671731759387
"Lake Mohegan","August","8-18_LM","Cloacimonadota",0
"Lake Mohegan","August","8-18_LM","Crenarchaeota",0
"Lake Mohegan","August","8-18_LM","Cyanobacteriota",0.594571320930733
"Lake Mohegan","August","8-18_LM","Deinococcota",0
"Lake Mohegan","August","8-18_LM","Dependentiae",0
"Lake Mohegan","August","8-18_LM","Desulfobacterota",0.000107640695358892
"Lake Mohegan","August","8-18_LM","Elusimicrobiota",0
"Lake Mohegan","August","8-18_LM","Euryarchaeota",0
"Lake Mohegan","August","8-18_LM","Fermentibacterota",0
"Lake Mohegan","August","8-18_LM","Fibrobacterota",0
"Lake Mohegan","August","8-18_LM","Firmicutes",0
"Lake Mohegan","August","8-18_LM","Fusobacteriota",5.3820347679446e-05
"Lake Mohegan","August","8-18_LM","Gemmatimonadota",0
"Lake Mohegan","August","8-18_LM","Halobacterota",0
"Lake Mohegan","August","8-18_LM","Hydrogenedentes",0
"Lake Mohegan","August","8-18_LM","Latescibacterota",0
"Lake Mohegan","August","8-18_LM","Methylomirabilota",0
"Lake Mohegan","August","8-18_LM","Micrarchaeota",0
"Lake Mohegan","August","8-18_LM","Modulibacteria",0
"Lake Mohegan","August","8-18_LM","Myxococcota",0.0020631133277121
"Lake Mohegan","August","8-18_LM","Nanoarchaeota",0
"Lake Mohegan","August","8-18_LM","Nitrospirota",0
"Lake Mohegan","August","8-18_LM","Patescibacteria",0.00080730521519169
"Lake Mohegan","August","8-18_LM","Planctomycetota",0.00882653701942914
"Lake Mohegan","August","8-18_LM","Proteobacteria",0.0667192910066199
"Lake Mohegan","August","8-18_LM","Spirochaetota",0.00111228718537522
"Lake Mohegan","August","8-18_LM","Sumerlaeota",3.58802317862973e-05
"Lake Mohegan","August","8-18_LM","Thermoplasmatota",0
"Lake Mohegan","August","8-18_LM","Verrucomicrobiota",0.163918838915699
"Lake Mohegan","August","8-26_LM","Acidobacteriota",0.00116981867810489
"Lake Mohegan","August","8-26_LM","Actinobacteriota",0.0198160194260799
"Lake Mohegan","August","8-26_LM","Aenigmarchaeota",0
"Lake Mohegan","August","8-26_LM","Armatimonadota",0.00272957691557809
"Lake Mohegan","August","8-26_LM","Bacteroidota",0.016536982222301
"Lake Mohegan","August","8-26_LM","Bdellovibrionota",0
"Lake Mohegan","August","8-26_LM","Calditrichota",0
"Lake Mohegan","August","8-26_LM","Campylobacterota",0
"Lake Mohegan","August","8-26_LM","Chloroflexi",0.00134706393236321
"Lake Mohegan","August","8-26_LM","Cloacimonadota",0
"Lake Mohegan","August","8-26_LM","Crenarchaeota",0
"Lake Mohegan","August","8-26_LM","Cyanobacteriota",0.870628688916854
"Lake Mohegan","August","8-26_LM","Deinococcota",0.000567184813626615
"Lake Mohegan","August","8-26_LM","Dependentiae",0
"Lake Mohegan","August","8-26_LM","Desulfobacterota",0
"Lake Mohegan","August","8-26_LM","Elusimicrobiota",0
"Lake Mohegan","August","8-26_LM","Euryarchaeota",0
"Lake Mohegan","August","8-26_LM","Fermentibacterota",0
"Lake Mohegan","August","8-26_LM","Fibrobacterota",0
"Lake Mohegan","August","8-26_LM","Firmicutes",0.00303089384781722
"Lake Mohegan","August","8-26_LM","Fusobacteriota",0
"Lake Mohegan","August","8-26_LM","Gemmatimonadota",0
"Lake Mohegan","August","8-26_LM","Halobacterota",0
"Lake Mohegan","August","8-26_LM","Hydrogenedentes",0
"Lake Mohegan","August","8-26_LM","Latescibacterota",0
"Lake Mohegan","August","8-26_LM","Methylomirabilota",0
"Lake Mohegan","August","8-26_LM","Micrarchaeota",0
"Lake Mohegan","August","8-26_LM","Modulibacteria",0
"Lake Mohegan","August","8-26_LM","Myxococcota",0.00462610113614208
"Lake Mohegan","August","8-26_LM","Nanoarchaeota",0
"Lake Mohegan","August","8-26_LM","Nitrospirota",0
"Lake Mohegan","August","8-26_LM","Patescibacteria",0
"Lake Mohegan","August","8-26_LM","Planctomycetota",0.00125844130523405
"Lake Mohegan","August","8-26_LM","Proteobacteria",0.0669632570587922
"Lake Mohegan","August","8-26_LM","Spirochaetota",0
"Lake Mohegan","August","8-26_LM","Sumerlaeota",0
"Lake Mohegan","August","8-26_LM","Thermoplasmatota",0
"Lake Mohegan","August","8-26_LM","Verrucomicrobiota",0.0113259717471065
"Lake Mohegan","July","7-08_LM","Acidobacteriota",0.00978788779859253
"Lake Mohegan","July","7-08_LM","Actinobacteriota",0.118693626722173
"Lake Mohegan","July","7-08_LM","Aenigmarchaeota",0
"Lake Mohegan","July","7-08_LM","Armatimonadota",0.0105808306075924
"Lake Mohegan","July","7-08_LM","Bacteroidota",0.19355238378432
"Lake Mohegan","July","7-08_LM","Bdellovibrionota",0.000966399048468629
"Lake Mohegan","July","7-08_LM","Calditrichota",0
"Lake Mohegan","July","7-08_LM","Campylobacterota",0.00032213301615621
"Lake Mohegan","July","7-08_LM","Chloroflexi",0.00750817722271781
"Lake Mohegan","July","7-08_LM","Cloacimonadota",0
"Lake Mohegan","July","7-08_LM","Crenarchaeota",0
"Lake Mohegan","July","7-08_LM","Cyanobacteriota",0.197417979978194
"Lake Mohegan","July","7-08_LM","Deinococcota",0
"Lake Mohegan","July","7-08_LM","Dependentiae",0.000148676776687481
"Lake Mohegan","July","7-08_LM","Desulfobacterota",0.000421250867281197
"Lake Mohegan","July","7-08_LM","Elusimicrobiota",0
"Lake Mohegan","July","7-08_LM","Euryarchaeota",0
"Lake Mohegan","July","7-08_LM","Fermentibacterota",0
"Lake Mohegan","July","7-08_LM","Fibrobacterota",0
"Lake Mohegan","July","7-08_LM","Firmicutes",0.00540192288631183
"Lake Mohegan","July","7-08_LM","Fusobacteriota",0.000644266032312419
"Lake Mohegan","July","7-08_LM","Gemmatimonadota",0.00294875607096838
"Lake Mohegan","July","7-08_LM","Halobacterota",0
"Lake Mohegan","July","7-08_LM","Hydrogenedentes",0.000173456239468728
"Lake Mohegan","July","7-08_LM","Latescibacterota",4.95589255624938e-05
"Lake Mohegan","July","7-08_LM","Methylomirabilota",0
"Lake Mohegan","July","7-08_LM","Micrarchaeota",0
"Lake Mohegan","July","7-08_LM","Modulibacteria",0
"Lake Mohegan","July","7-08_LM","Myxococcota",0.00218059272474973
"Lake Mohegan","July","7-08_LM","Nanoarchaeota",0.000123897313906235
"Lake Mohegan","July","7-08_LM","Nitrospirota",0
"Lake Mohegan","July","7-08_LM","Patescibacteria",0.00577361482803053
"Lake Mohegan","July","7-08_LM","Planctomycetota",0.0730746357418971
"Lake Mohegan","July","7-08_LM","Proteobacteria",0.281692932897215
"Lake Mohegan","July","7-08_LM","Spirochaetota",0
"Lake Mohegan","July","7-08_LM","Sumerlaeota",0
"Lake Mohegan","July","7-08_LM","Thermoplasmatota",0
"Lake Mohegan","July","7-08_LM","Verrucomicrobiota",0.0885370205173952
"Lake Mohegan","July","7-14_LM","Acidobacteriota",0.00495439980280996
"Lake Mohegan","July","7-14_LM","Actinobacteriota",0.115578013310328
"Lake Mohegan","July","7-14_LM","Aenigmarchaeota",0
"Lake Mohegan","July","7-14_LM","Armatimonadota",0.0179196450579246
"Lake Mohegan","July","7-14_LM","Bacteroidota",0.16255854079369
