"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"18S-LM-6-1",101,101,2.86212489047841,0.650609236750375,1.75994680536743,11.5853256219627,1,0.125768532328428,0.38134362882727,0.0283378702027565,0.183672749135023,0.165191688326365,0.551842016047011,0.740352017177082,39066,0.551842016047011,0.349390763249625,0.564724827664143,0.998251201145285,2.06101699640365,0.0398915131653294,0.201322183297548
"18S-LM-6-16",213,213.5,15.9898955262066,0.937460504456639,3.79211638361468,28.9164309870671,8,0.373842946810457,0.707313883744086,0.0750699320479184,0.220946750798578,0.359844379568192,0.207116129455787,0.279546598393838,9465,0.207116129455787,0.0625394955433606,0.0157552681677936,0.989554701209151,2.06139279408135,0.0915993785422,0.731591500908116
"18S-LM-6-19",204,204,4.72101453549385,0.78818112240881,2.68547776973834,24.7831376187913,2,0.195909289291516,0.504967502208828,0.023142228115166,0.222860193092434,0.251001012654798,0.405487280852527,0.611926349260914,37746,0.405487280852527,0.21181887759119,0.424576744585768,0.994044626054068,2.06135779130202,0.0997550704709522,0.310791938810588
"18S-LM-6-8",192,193,2.75378531959356,0.636863486458126,2.06472742678891,21.64338721443,1,0.165858665764901,0.392720731201054,0.0143426318728831,0.209888782055987,0.205428040412319,0.581392482256621,0.733648194521934,89617,0.581392482256621,0.363136513541874,0.000934203526618313,0.996164044581012,2.06134930213869,0.0743859558069832,0.971915506481037
"18S-LM-7-14",206,206,5.07239753551193,0.802854568673101,2.82579986924141,25.147039479525,2,0.19674716431024,0.530380170206432,0.0246232890073395,0.215260106122524,0.263398837495446,0.408578226197295,0.563279288011632,37094,0.408578226197295,0.197145431326899,0.418282151826233,0.9937128094816,2.06135906265346,0.0861457461338503,0.51055205533771
"18S-LM-7-22",114,114,7.10586810980077,0.859271241099909,2.69423735217785,14.8108975148675,3,0.41085818300814,0.568860739585597,0.0623321764017611,0.205536520471075,0.246117934010037,0.305804393177077,0.424101116701436,9968,0.305804393177077,0.140728758900091,0.0117805865750399,0.996368439865614,2.06131685859078,0.0605902564731869,0.542183089949687
"18S-LM-7-28",238,238.375,3.17394411637551,0.68493459136831,2.16249193321689,27.6189187885139,1,0.128766160077304,0.395172691954219,0.0133358996486366,0.190294549393625,0.187857057459991,0.521985006946083,0.721416214516002,79657,0.521985006946083,0.31506540863169,0.00211658934235014,0.995880651518374,2.06135221711109,0.0766690257136117,0.732824827658515
"18S-LM-7-8",108,108.333333333333,6.25392714448515,0.840100471768076,2.76644737577501,14.442171056849,2,0.375403270260704,0.590852165729273,0.057906732819307,0.254012225634426,0.325640098333629,0.280510731630895,0.547039009869967,7162,0.280510731630895,0.159899528231924,0.284388218705938,0.995322643113385,2.06094337292516,0.0530706564311452,0.668572771424095
"18S-LM-8-12",63,63,1.11732644510478,0.105006415644067,0.348587252082872,6.4681934490331,1,0.0403873696209121,0.0841361131373284,0.0177353403984886,0.216102648953922,0.0472577723102152,0.945713427346303,0.969365366932804,103880,0.945713427346303,0.894993584355933,0.969365366932804,0.999567256008074,2.06107192034706,0.0197099496554173,0.0203199111459083
"18S-LM-8-18",62,62,1.0872500333804,0.0802483611880185,0.29298585141933,5.94828734039958,1,0.0383354184627323,0.0709901408786157,0.0175362908609741,0.154035419894023,0.0417209402270467,0.958951978163712,0.969380205365088,191823,0.958951978163712,0.919751638811982,0.969380205365088,0.999593042548384,2.06106037391106,0.0167071597828369,0.0197216473199556
"18S-LM-8-26",139,139,5.04936067939315,0.801955125907111,2.34846167057749,16.909537860705,2,0.171199471075774,0.475929491654544,0.0363263358229723,0.201859776882369,0.197519177106401,0.325377744518923,0.600824748833729,20436,0.325377744518923,0.198044874092889,0.0962790771729266,0.997036599805291,2.0610634227619,0.0588151002276816,0.783638766379544
"18S-LM-8-4",61,61,1.12381769518148,0.110175961557082,0.364433412962329,5.65839148019697,1,0.0438695137342687,0.0886510812551083,0.0184232409046145,0.156162793737013,0.052533673035469,0.943007981529616,0.964720977342162,256501,0.943007981529616,0.889824038442918,0.964720977342162,0.999583649194013,2.06066336530552,0.0130623559298978,0.0294482046153902
"18S-LM-9-1",104,104,2.22052543888083,0.549656138817301,1.41576020582126,11.205813807108,1,0.0873171990145268,0.304832266828143,0.0213512061430849,0.182934229967552,0.12576844322275,0.642545264015835,0.829356531574614,77259,0.642545264015835,0.450343861182699,0.00785103003185323,0.998788625326068,2.061167831657,0.0322441138066684,0.925298779929973
"18S-LM-9-16",81,81,1.67936398563603,0.404536474193076,1.13378032933959,7.98610033744157,1,0.0609385900099337,0.258002832535697,0.020732888711556,0.117644947342747,0.128604094881767,0.766615893484766,0.831349235691082,155518,0.766615893484766,0.595463525806924,0.775405076332303,0.999109633012625,2.06010696225115,0.01705091613552,0.0782695710898489
"18S-LM-9-9",90,90,2.31908623607544,0.568795681486908,1.14176333691402,8.89878239370662,1,0.0519646770971836,0.253735917863882,0.0257676248452827,0.133473491277747,0.0885163762770991,0.511146931861647,0.92279110431124,112254,0.511146931861647,0.431204318513092,0.416320601788609,0.999186840149823,2.06108046996338,0.0197757863869005,0.554905924994991
"18S-LR-6-1",436,437.666666666667,26.8612135764572,0.962771600130664,4.55198816307953,53.2123084224726,15,0.26444546665677,0.748972706983686,0.0616082880193973,0.235135175076919,0.38570789428749,0.159612996419905,0.21001491273194,30718,0.159612996419905,0.0372283998693365,0.161280936124664,0.975033339481811,2.06135118065148,0.216364514972487,0.755212961086603
"18S-LR-6-16",402,402,42.8621717628867,0.976669404305223,4.6285069968648,57.3045618621178,18,0.290488563395373,0.771874256387287,0.106622317818126,0.241163588002424,0.385422691388997,0.0773092369477912,0.145645080321285,4928,0.0773092369477912,0.0233305956947771,0.0124090110441767,0.977523608355945,2.06142303617716,0.189351154618474,0.833443147590361
"18S-LR-6-19",287,287,14.3844183311711,0.93048033107929,3.74231432622961,37.6816456859465,6,0.207045499653827,0.661246768442635,0.050119924498854,0.251519891985637,0.323827565788981,0.197553133087601,0.31355710663216,15114,0.197553133087601,0.0695196689207096,0.0786735680861632,0.987852749715497,2.06134024110435,0.139440043918124,0.673332810498523
"18S-LR-6-8",577,577.083333333333,71.6294465243425,0.986039261106671,5.05136849399872,80.2494942356513,27,0.267050071966922,0.794509879650265,0.12414115515484,0.243339508971736,0.395106545867146,0.0493666958165251,0.0865468701514852,5250,0.0493666958165251,0.0139607388933287,0.017574543710683,0.966783252439811,2.06141893205496,0.229268338552098,0.863390598700481
"18S-LR-7-14",356,356.166666666667,20.5518385617197,0.95134255278442,4.00744151987573,41.9095485646044,11,0.159611311369453,0.682125748109806,0.0577298836003363,0.172213484255191,0.286606022431531,0.158124227909043,0.270374656373748,32384,0.158124227909043,0.0486574472155801,0.0427146351824454,0.987128849687231,2.06122809039891,0.110643990996138,0.692438025204955
"18S-LR-7-22",377,377,44.2211287869395,0.977386375530619,4.65020155413696,45.0406552233269,18,0.26854864355982,0.783885595958893,0.117297423838036,0.27179878498239,0.408392316405405,0.0714594394369675,0.142028851298514,13890,0.0714594394369675,0.0226136244693814,0.00471766061653702,0.976292460203688,2.06124925718969,0.197611845083755,0.886354282421698
"18S-LR-7-28",245,245,23.179616222986,0.956858647253687,4.02235548876817,33.6108043096289,9,0.288353838852178,0.731170095062649,0.0946106784611673,0.25912321780771,0.366549338956888,0.144718653439584,0.215624491787282,7119,0.144718653439584,0.0431413527463131,0.0127866319726785,0.987250776421057,2.06140019772453,0.11758009432428,0.885225239876403
"18S-LR-7-8",373,374,14.4717051476718,0.930899642454305,3.95472374788604,46.1323275570632,8,0.181902423525316,0.667849594757864,0.0387981371251253,0.173944624897515,0.328549332116584,0.212624717840495,0.339786827658978,31838,0.212624717840495,0.0691003575456955,0.127629593022479,0.985251246107122,2.06139444690072,0.128537846104529,0.55925015694079
"18S-LR-8-12",311,311.2,7.3685283314195,0.864287690157072,3.23269193935272,37.6724926726252,3,0.133225337249637,0.563207068410654,0.023693017142828,0.20835979454782,0.26345508990299,0.330916141140105,0.430782287109995,47961,0.330916141140105,0.135712309842929,0.0112051002525287,0.990999065751595,2.06128097399934,0.110643465301448,0.518539473139498
"18S-LR-8-18",459,459,42.6274858512651,0.976540957552853,4.72355366670381,59.3434698663015,20,0.25198268969117,0.770682814598308,0.0928703395452398,0.215780472170963,0.391543515649327,0.100781653270408,0.153454759973453,13667,0.100781653270408,0.0234590424471473,0.101673917852666,0.974710493862098,2.06139087739493,0.18384337438242,0.711370842858196
"18S-LR-8-26",482,482.6,49.7554703823831,0.979901707444131,4.77262527357194,62.6421647838298,19,0.235868009998771,0.772526456287858,0.103227116975898,0.214310122814523,0.394775937687932,0.0597175560306587,0.117304419913609,8212,0.0597175560306587,0.0200982925558688,0.0193143970795701,0.973505859372594,2.06127421746197,0.20116497229373,0.763434995709528
"18S-LR-8-4",167,167,18.4396423247255,0.945769013173368,3.75313570116455,19.3054166722473,6,0.256669567344307,0.733321656634105,0.110417019908536,0.304138216761169,0.388698394390156,0.137197997533193,0.250018138286295,15128,0.137197997533193,0.0542309868266323,0.0813955597475151,0.989769114986895,2.06076697779287,0.10113001523616,0.810953711093376
"18S-LR-9-1",184,184,2.02555877790135,0.506309068435878,1.96788803635459,19.9150465992839,1,0.152656749109577,0.377356141632865,0.0110084716190291,0.339241951497568,0.251022635669132,0.701430934132146,0.7210044347737,143773,0.701430934132146,0.493690931564122,0.717516136429056,0.994120997899863,2.06138246809752,0.112376872825912,0.243292953637344
"18S-LR-9-16",259,259,14.8682295945986,0.932742496768863,3.85155791780452,30.2490969900607,7,0.241557703096165,0.693121664920929,0.0574062918710371,0.242673143573944,0.362118646443333,0.193768016992869,0.329944874323573,30651,0.193768016992869,0.0672575032311368,0.207321853031912,0.987123111847314,2.06119809324981,0.121504071208213,0.540566681838871
"18S-LR-9-9",204,204,2.99665469616111,0.666294551293795,2.17037327170958,22.9129182495469,1,0.105070115273524,0.408109120181909,0.0146894838047113,0.188766559294463,0.1944165510226,0.561732680611185,0.655066013944519,94666,0.561732680611185,0.333705448706205,0.589277555258864,0.996188917300909,2.06132626549646,0.0725470998368195,0.182655392375018
"18S-TTL-6-1",251,251,3.37756444949154,0.703928669621525,2.43616640347021,30.6356820493842,1,0.148307826117802,0.440898950784116,0.0134564320696874,0.248118766340536,0.220152572218058,0.526986391670655,0.632141663882392,58359,0.526986391670655,0.296071330378475,0.540170307293595,0.99417996090741,2.06135944031302,0.0919803866679911,0.429145483605891
"18S-TTL-6-16",102,102,10.0887538485917,0.900879730538813,3.14511169160778,15.8005801521962,3,0.861039473581382,0.680028146884258,0.0989093514567815,0.340265835163244,0.37293663603108,0.206954962136309,0.366480669589478,2077,0.206954962136309,0.0991202694611873,0.0140494220805102,0.99426519734766,2.06142303617716,0.0507174172977282,0.952172180151455
"18S-TTL-6-19",58,58,1.25918476474484,0.205835372219865,0.636696868710084,6.14985849542759,1,0.0724344778122773,0.156804778950562,0.021710082150773,0.148252307847585,0.0945599965225707,0.890265371324249,0.920688531003456,68270,0.890265371324249,0.794164627780135,0.911129947186542,0.999420676485247,2.06100798697232,0.016887266088544,0.0496055291126035
"18S-TTL-6-8",490,490,30.7181498400003,0.967445956048504,4.49168643854524,64.0511497813683,14,0.261271253034793,0.725119871068726,0.0626901017142863,0.239088423120523,0.345419880782948,0.108309851824866,0.200791060422444,14568,0.108309851824866,0.0325540439514957,0.00195534672089098,0.97737090177867,2.06137793026103,0.191653717760942,0.919444175966335
"18S-TTL-7-14",106,106.25,6.04672099123488,0.834621110937719,2.34191692253235,11.7721546563469,2,0.159180952043287,0.502186664234384,0.0570445376531592,0.147068582854524,0.191085857456042,0.288078087483036,0.500824720743293,27595,0.288078087483036,0.165378889062281,0.292326965236455,0.997712196802579,2.06054443083392,0.0355256289800606,0.128478964401294
"18S-TTL-7-22",146,146,2.68915330246929,0.628135741059552,1.6927509575502,16.2537339884378,1,0.0784055006651315,0.339663839071218,0.018418858236091,0.188024702388762,0.140226101336053,0.564557881478391,0.784523726731112,73060,0.564557881478391,0.371864258940448,0.230274087983247,0.998064505071899,2.0612320337916,0.0392934140065373,0.150535889530256
"18S-TTL-7-28",332,332.090909090909,5.31835437310069,0.81197191276726,3.30198983624338,40.9826845806026,4,0.230029965318241,0.568805006933316,0.0160191396780141,0.215644600076647,0.297177140239247,0.425555851615004,0.463784527933209,57496,0.425555851615004,0.18802808723274,0.0126195340024277,0.988379458750281,2.06141061756522,0.131132131331971,0.514943600675016
"18S-TTL-7-8",170,170,6.91155890691747,0.85531484091105,2.64079522618634,19.8553366055659,3,0.151223716878152,0.514193704942805,0.0406562288642204,0.182704549600233,0.189129639549719,0.246688311062727,0.484388096224434,25606,0.246688311062727,0.14468515908895,0.379367816645632,0.996308429214809,2.06118419932072,0.0687771558492856,0.412817079162612
"18S-TTL-8-12",106,106,1.24047760585373,0.1938588852543,0.662729117310636,11.4376273100739,1,0.04646852687112,0.142111669936331,0.0117026189231484,0.239943297188662,0.081088421893627,0.897293414360262,0.918397846621309,108673,0.897293414360262,0.8061411147457,0.921073056344541,0.999111930013513,2.06130011363461,0.0347777264020081,0.0465684655525465
"18S-TTL-8-18",81,81,1.11963200027514,0.106849393591594,0.365666803961883,8.24478811582404,1,0.0362453097043648,0.0832110672103429,0.0138226172873474,0.209091152989135,0.0452714854903608,0.944764255285631,0.967633100750261,143932,0.944764255285631,0.893150606408406,0.968289497003551,0.999514490869107,2.06121167093506,0.0176504952509731,0.0239847190952235
"18S-TTL-8-26",62,62,1.14352477734673,0.125510859222256,0.399252323697987,6.23116349691362,1,0.0374205063035286,0.0967383870863766,0.0184439480217214,0.158949212473854,0.0610979684909466,0.93476778834001,0.956016514871811,122033,0.93476778834001,0.874489140777744,0.956545052049422,0.999587458343408,2.06106037391106,0.010126465924672,0.0252242453025301
"18S-TTL-8-4",197,197,1.86837348036091,0.464775104918086,1.60044802189667,22.5857716482662,1,0.0847703578142619,0.302931346976274,0.00948412934193357,0.234363097991739,0.153404265844388,0.729042823339297,0.75848386910602,101057,0.729042823339297,0.535224895081914,0.775090898597565,0.997049210521277,2.06138766332787,0.0745296358284758,0.135301841057309
