"Lake","Month","Date_Sam","Order","RelAbund"
"Lake Mohegan","August","8-04_LM","Chytridiales",0.192837465564738
"Lake Mohegan","August","8-04_LM","Rhizophydiales",0.732782369146005
"Lake Mohegan","August","8-04_LM","Zygophlyctidales",0.0743801652892562
"Lake Mohegan","August","8-12_LM","Chytridiales",0.305903398926655
"Lake Mohegan","August","8-12_LM","Cladochytriales",0.0178890876565295
"Lake Mohegan","August","8-12_LM","Monoblepharidales",0.0178890876565295
"Lake Mohegan","August","8-12_LM","Rhizophydiales",0.608228980322004
"Lake Mohegan","August","8-12_LM","Spizellomycetales",0.0500894454382826
"Lake Mohegan","August","8-18_LM","Chytridiales",0.644897959183673
"Lake Mohegan","August","8-18_LM","Rhizophydiales",0.346938775510204
"Lake Mohegan","August","8-26_LM","Chytridiales",0.0660944206008584
"Lake Mohegan","August","8-26_LM","Cladochytriales",0.0283261802575107
"Lake Mohegan","August","8-26_LM","Rhizophydiales",0.905579399141631
"Lake Mohegan","July","7-08_LM","Neocallimastigales",0.391933815925543
"Lake Mohegan","July","7-08_LM","Rhizophydiales",0.34229576008273
"Lake Mohegan","July","7-08_LM","Spizellomycetales",0.265770423991727
"Lake Mohegan","July","7-14_LM","Chytridiales",0.0228198859005705
"Lake Mohegan","July","7-14_LM","Cladochytriales",0.0171149144254279
"Lake Mohegan","July","7-14_LM","Neocallimastigales",0.125509372453138
"Lake Mohegan","July","7-14_LM","Rhizophydiales",0.245313773431133
"Lake Mohegan","July","7-14_LM","Spizellomycetales",0.541157294213529
"Lake Mohegan","July","7-14_LM","Zygophlyctidales",0.0480847595762021
"Lake Mohegan","July","7-18_LM","Chytridiales",0.135007849293564
"Lake Mohegan","July","7-18_LM","Cladochytriales",0.209576138147567
"Lake Mohegan","July","7-18_LM","Monoblepharidales",0.0337519623233909
"Lake Mohegan","July","7-18_LM","Rhizophydiales",0.183673469387755
"Lake Mohegan","July","7-18_LM","Spizellomycetales",0.278649921507064
"Lake Mohegan","July","7-18_LM","Zygophlyctidales",0.159340659340659
"Lake Mohegan","July","7-22_LM","Chytridiales",0.236486486486486
"Lake Mohegan","July","7-22_LM","Cladochytriales",0.0135135135135135
"Lake Mohegan","July","7-22_LM","Rhizophydiales",0.385135135135135
"Lake Mohegan","July","7-22_LM","Spizellomycetales",0.22972972972973
"Lake Mohegan","July","7-22_LM","Zygophlyctidales",0.135135135135135
"Lake Mohegan","June","6-01_LM","Rhizophydiales",0.908541846419327
"Lake Mohegan","June","6-01_LM","Spizellomycetales",0.0534943917169974
"Lake Mohegan","June","6-01_LM","Zygophlyctidales",0.0379637618636756
"Lake Mohegan","June","6-08_LM","Spizellomycetales",0.985035652497292
"Lake Mohegan","June","6-16_LM","Rhizophydiales",0.696976938702354
"Lake Mohegan","June","6-16_LM","Spizellomycetales",0.0730075277810969
"Lake Mohegan","June","6-16_LM","Zygophlyctidales",0.226072410084837
"Lake Mohegan","June","6-19_LM","Cladochytriales",0.0348432055749129
"Lake Mohegan","June","6-19_LM","Rhizophydiales",0.339140534262485
"Lake Mohegan","June","6-19_LM","Spizellomycetales",0.434378629500581
"Lake Mohegan","June","6-19_LM","Zygophlyctidales",0.191637630662021
"Lake Mohegan","September","9-01_LM","Cladochytriales",1
"Lake Mohegan","September","9-09_LM","Chytridiales",1
"Lake Mohegan","September","9-16_LM","Chytridiales",1
"Lake Rippowam","August","8-04_LR","Chytridiales",0.133232628398792
"Lake Rippowam","August","8-04_LR","Cladochytriales",0.0317220543806647
"Lake Rippowam","August","8-04_LR","Rhizophydiales",0.722054380664653
"Lake Rippowam","August","8-04_LR","Spizellomycetales",0.112990936555891
"Lake Rippowam","August","8-12_LR","Chytridiales",0.0581167924001118
"Lake Rippowam","August","8-12_LR","Rhizophydiales",0.468007823414362
"Lake Rippowam","August","8-12_LR","Spizellomycetales",0.355965353450685
"Lake Rippowam","August","8-12_LR","Zygophlyctidales",0.049455155071249
"Lake Rippowam","August","8-12_LR","Zygorhizidiales",0.0653813914501257
"Lake Rippowam","August","8-18_LR","Chytridiales",0.0791473696710604
"Lake Rippowam","August","8-18_LR","Cladochytriales",0.0138938368364802
"Lake Rippowam","August","8-18_LR","Rhizophydiales",0.682579266120413
"Lake Rippowam","August","8-18_LR","Spizellomycetales",0.167794798717492
"Lake Rippowam","August","8-18_LR","Zygophlyctidales",0.0122907018168864
"Lake Rippowam","August","8-18_LR","Zygorhizidiales",0.0442940268376677
"Lake Rippowam","August","8-26_LR","Chytridiales",0.0448637316561845
"Lake Rippowam","August","8-26_LR","Cladochytriales",0.011560347409404
"Lake Rippowam","August","8-26_LR","Rhizophydiales",0.364001197963462
