"Lake","Month","Date_Sam","Taxa","RelAbund"
"Lake Mohegan","August","8-04_LM","Alveolata",0
"Lake Mohegan","August","8-04_LM","Ancyromonadida",0
"Lake Mohegan","August","8-04_LM","Apusomonada",0
"Lake Mohegan","August","8-04_LM","Centroplasthelida",0
"Lake Mohegan","August","8-04_LM","Chlorophyta",0.00129410337385985
"Lake Mohegan","August","8-04_LM","Collodictyonidae",0
"Lake Mohegan","August","8-04_LM","Cryptophyta",0.000477935905118694
"Lake Mohegan","August","8-04_LM","Discoba",0
"Lake Mohegan","August","8-04_LM","Discosea",0
"Lake Mohegan","August","8-04_LM","Evosea",0
"Lake Mohegan","August","8-04_LM","Firmicutes",0
"Lake Mohegan","August","8-04_LM","Haptophyta",0
"Lake Mohegan","August","8-04_LM","Kathablepharidacea",9.92636110631133e-05
"Lake Mohegan","August","8-04_LM","Opisthokonta_Annelida",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Aphelidiomycota",1.47057201574983e-05
"Lake Mohegan","August","8-04_LM","Opisthokonta_Arthropoda",0.987647195067701
"Lake Mohegan","August","8-04_LM","Opisthokonta_Ascomycota",0.00418745381484763
"Lake Mohegan","August","8-04_LM","Opisthokonta_Basidiomycota",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Blastocladiomycota",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Bryozoa",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Choanoflagellatea",4.77935905118694e-05
"Lake Mohegan","August","8-04_LM","Opisthokonta_Chytridiomycota",0.00136395554460796
"Lake Mohegan","August","8-04_LM","Opisthokonta_Cnidaria",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Craniata",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Filasterea",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Gastrotricha",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Ichthyophonida",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Mollusca",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Monoblepharomycota",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Mucoromycota",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Nematoda",2.94114403149965e-05
"Lake Mohegan","August","8-04_LM","Opisthokonta_Opisthokonta",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Opisthosporidia",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Platyhelminthes",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Pluriformea",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Porifera",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Rotifera",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Rozellomycota",0
"Lake Mohegan","August","8-04_LM","Opisthokonta_Unclassified",2.20585802362474e-05
"Lake Mohegan","August","8-04_LM","Opisthokonta_Zoopagomycota",0
"Lake Mohegan","August","8-04_LM","Rhizaria",6.98521707481167e-05
"Lake Mohegan","August","8-04_LM","Rhodophyta",0
"Lake Mohegan","August","8-04_LM","Rigifilida",0
"Lake Mohegan","August","8-04_LM","Stramenopiles",0.00165439351771855
"Lake Mohegan","August","8-04_LM","Streptophyta",0.00309187766311401
"Lake Mohegan","August","8-04_LM","Telonemia",0
"Lake Mohegan","August","8-04_LM","Tubulinea",0
"Lake Mohegan","August","8-04_LM","Verrucomicrobia",0
"Lake Mohegan","August","8-12_LM","Alveolata",0
"Lake Mohegan","August","8-12_LM","Ancyromonadida",0
"Lake Mohegan","August","8-12_LM","Apusomonada",0
"Lake Mohegan","August","8-12_LM","Centroplasthelida",0
"Lake Mohegan","August","8-12_LM","Chlorophyta",0.0015840790947079
"Lake Mohegan","August","8-12_LM","Collodictyonidae",0
"Lake Mohegan","August","8-12_LM","Cryptophyta",0.0020301703340222
"Lake Mohegan","August","8-12_LM","Discoba",0
"Lake Mohegan","August","8-12_LM","Discosea",0
"Lake Mohegan","August","8-12_LM","Evosea",0
"Lake Mohegan","August","8-12_LM","Firmicutes",0
"Lake Mohegan","August","8-12_LM","Haptophyta",0
"Lake Mohegan","August","8-12_LM","Kathablepharidacea",0.000537130267745783
"Lake Mohegan","August","8-12_LM","Opisthokonta_Annelida",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Aphelidiomycota",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Arthropoda",0.984468741749588
"Lake Mohegan","August","8-12_LM","Opisthokonta_Ascomycota",0.00110157224402101
"Lake Mohegan","August","8-12_LM","Opisthokonta_Basidiomycota",0.00031863659951021
"Lake Mohegan","August","8-12_LM","Opisthokonta_Blastocladiomycota",0.000209389765392424
"Lake Mohegan","August","8-12_LM","Opisthokonta_Bryozoa",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Choanoflagellatea",0.000245805376765019
"Lake Mohegan","August","8-12_LM","Opisthokonta_Chytridiomycota",0.00536219877461468
"Lake Mohegan","August","8-12_LM","Opisthokonta_Cnidaria",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Craniata",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Filasterea",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Gastrotricha",0.000300428793823912
"Lake Mohegan","August","8-12_LM","Opisthokonta_Ichthyophonida",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Mollusca",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Monoblepharomycota",3.64156113725954e-05
"Lake Mohegan","August","8-12_LM","Opisthokonta_Mucoromycota",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Nematoda",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Opisthokonta",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Opisthosporidia",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Platyhelminthes",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Pluriformea",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Porifera",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Rotifera",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Rozellomycota",0
"Lake Mohegan","August","8-12_LM","Opisthokonta_Unclassified",0.00023670147392187
"Lake Mohegan","August","8-12_LM","Opisthokonta_Zoopagomycota",0
"Lake Mohegan","August","8-12_LM","Rhizaria",0.000373260016569103
"Lake Mohegan","August","8-12_LM","Rhodophyta",0
"Lake Mohegan","August","8-12_LM","Rigifilida",0
"Lake Mohegan","August","8-12_LM","Stramenopiles",0.0020301703340222
"Lake Mohegan","August","8-12_LM","Streptophyta",0.00116529956392305
"Lake Mohegan","August","8-12_LM","Telonemia",0
"Lake Mohegan","August","8-12_LM","Tubulinea",0
"Lake Mohegan","August","8-12_LM","Verrucomicrobia",0
"Lake Mohegan","August","8-18_LM","Alveolata",0
"Lake Mohegan","August","8-18_LM","Ancyromonadida",0
"Lake Mohegan","August","8-18_LM","Apusomonada",0
"Lake Mohegan","August","8-18_LM","Centroplasthelida",0
"Lake Mohegan","August","8-18_LM","Chlorophyta",0.0033794254976654
"Lake Mohegan","August","8-18_LM","Collodictyonidae",0
"Lake Mohegan","August","8-18_LM","Cryptophyta",0.00342941699911015
"Lake Mohegan","August","8-18_LM","Discoba",0
"Lake Mohegan","August","8-18_LM","Discosea",0
"Lake Mohegan","August","8-18_LM","Evosea",0
"Lake Mohegan","August","8-18_LM","Firmicutes",0
"Lake Mohegan","August","8-18_LM","Haptophyta",0
"Lake Mohegan","August","8-18_LM","Kathablepharidacea",0.000494915864303069
"Lake Mohegan","August","8-18_LM","Opisthokonta_Annelida",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Aphelidiomycota",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Arthropoda",0.985407480728276
"Lake Mohegan","August","8-18_LM","Opisthokonta_Ascomycota",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Basidiomycota",0.000349940510113281
"Lake Mohegan","August","8-18_LM","Opisthokonta_Blastocladiomycota",0.000494915864303069
"Lake Mohegan","August","8-18_LM","Opisthokonta_Bryozoa",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Choanoflagellatea",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Chytridiomycota",0.00140976034074207
"Lake Mohegan","August","8-18_LM","Opisthokonta_Cnidaria",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Craniata",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Filasterea",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Gastrotricha",0.00122979093554096
"Lake Mohegan","August","8-18_LM","Opisthokonta_Ichthyophonida",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Mollusca",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Monoblepharomycota",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Mucoromycota",9.99830028895088e-06
"Lake Mohegan","August","8-18_LM","Opisthokonta_Nematoda",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Opisthokonta",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Opisthosporidia",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Platyhelminthes",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Pluriformea",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Porifera",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Rotifera",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Rozellomycota",0
"Lake Mohegan","August","8-18_LM","Opisthokonta_Unclassified",0.000144975354189788
"Lake Mohegan","August","8-18_LM","Opisthokonta_Zoopagomycota",0
"Lake Mohegan","August","8-18_LM","Rhizaria",0.000234960056790346
"Lake Mohegan","August","8-18_LM","Rhodophyta",0
"Lake Mohegan","August","8-18_LM","Rigifilida",0
"Lake Mohegan","August","8-18_LM","Stramenopiles",0.00126978413669676
"Lake Mohegan","August","8-18_LM","Streptophyta",0.00214463541197996
"Lake Mohegan","August","8-18_LM","Telonemia",0
