"Lake","Month","Date_Sam","Genus","RelAbund"
"Lake Mohegan","August","8-04_LM","Aaroniella",0
"Lake Mohegan","August","8-04_LM","Acanthocyclops",0
"Lake Mohegan","August","8-04_LM","Acroperus",0
"Lake Mohegan","August","8-04_LM","Alonopsis",0
"Lake Mohegan","August","8-04_LM","Anopheles",0
"Lake Mohegan","August","8-04_LM","Bosmina",0
"Lake Mohegan","August","8-04_LM","Castrada",0
"Lake Mohegan","August","8-04_LM","Castrella",0
"Lake Mohegan","August","8-04_LM","Chaetogaster",0
"Lake Mohegan","August","8-04_LM","Chaetonotus",0
"Lake Mohegan","August","8-04_LM","Chironomus",0
"Lake Mohegan","August","8-04_LM","Chrysemys",0
"Lake Mohegan","August","8-04_LM","Chydorus",0
"Lake Mohegan","August","8-04_LM","Corethrella",0
"Lake Mohegan","August","8-04_LM","Cypria",0
"Lake Mohegan","August","8-04_LM","Cypridopsis",0.457458876914351
"Lake Mohegan","August","8-04_LM","Daphnia",0
"Lake Mohegan","August","8-04_LM","Darwinula",0
"Lake Mohegan","August","8-04_LM","Dero",0
"Lake Mohegan","August","8-04_LM","Diaphanosoma",0
"Lake Mohegan","August","8-04_LM","Eucyclops",0.00510493477027794
"Lake Mohegan","August","8-04_LM","Eudiaptomus",0.529211571185479
"Lake Mohegan","August","8-04_LM","Eumonhystera",0
"Lake Mohegan","August","8-04_LM","Ferrissia",0
"Lake Mohegan","August","8-04_LM","Folsomia",0
"Lake Mohegan","August","8-04_LM","Gallus",0
"Lake Mohegan","August","8-04_LM","Gyratrix",0
"Lake Mohegan","August","8-04_LM","Halichaetonotus",0
"Lake Mohegan","August","8-04_LM","Heterolepidoderma",0
"Lake Mohegan","August","8-04_LM","Horreolanus",0.00595575723199092
"Lake Mohegan","August","8-04_LM","Hydra",0
"Lake Mohegan","August","8-04_LM","Ichthydium",0
"Lake Mohegan","August","8-04_LM","Isotoma",0
"Lake Mohegan","August","8-04_LM","Isotomurus",0
"Lake Mohegan","August","8-04_LM","Laimydorus",0
"Lake Mohegan","August","8-04_LM","Lepidodermella",0
"Lake Mohegan","August","8-04_LM","Macquaria",0
"Lake Mohegan","August","8-04_LM","Macrocyclops",0
"Lake Mohegan","August","8-04_LM","Mesocyclops",0
"Lake Mohegan","August","8-04_LM","Microstomum",0
"Lake Mohegan","August","8-04_LM","Monopisthocotylea",0
"Lake Mohegan","August","8-04_LM","Nais",0
"Lake Mohegan","August","8-04_LM","Oripoda",0
"Lake Mohegan","August","8-04_LM","Pectinatella",0
"Lake Mohegan","August","8-04_LM","Physella",0
"Lake Mohegan","August","8-04_LM","Planorbarius",0
"Lake Mohegan","August","8-04_LM","Plumatella",0
"Lake Mohegan","August","8-04_LM","Pristina",0
"Lake Mohegan","August","8-04_LM","Rhabdolaimus",0
"Lake Mohegan","August","8-04_LM","Scapholeberis",0
"Lake Mohegan","August","8-04_LM","Simocephalus",0
"Lake Mohegan","August","8-04_LM","Sinella",0
"Lake Mohegan","August","8-04_LM","Skistodiaptomus",0
"Lake Mohegan","August","8-04_LM","Spinileberis",0
"Lake Mohegan","August","8-04_LM","Spongilla",0
"Lake Mohegan","August","8-04_LM","Stenostomum",0
"Lake Mohegan","August","8-04_LM","Sympetrum",0
"Lake Mohegan","August","8-04_LM","Tobrilus",0.0022688598979013
"Lake Mohegan","August","8-04_LM","Tropocyclops",0
"Lake Mohegan","August","8-04_LM","Tylocephalus",0
"Lake Mohegan","August","8-04_LM","Vestalenula",0
"Lake Mohegan","August","8-04_LM","Wilsonema",0
"Lake Mohegan","August","8-12_LM","Aaroniella",0
"Lake Mohegan","August","8-12_LM","Acanthocyclops",0.0560747663551402
"Lake Mohegan","August","8-12_LM","Acroperus",0
"Lake Mohegan","August","8-12_LM","Alonopsis",0
"Lake Mohegan","August","8-12_LM","Anopheles",0
"Lake Mohegan","August","8-12_LM","Bosmina",0
"Lake Mohegan","August","8-12_LM","Castrada",0
"Lake Mohegan","August","8-12_LM","Castrella",0
"Lake Mohegan","August","8-12_LM","Chaetogaster",0
"Lake Mohegan","August","8-12_LM","Chaetonotus",0.0616822429906542
"Lake Mohegan","August","8-12_LM","Chironomus",0
"Lake Mohegan","August","8-12_LM","Chrysemys",0
"Lake Mohegan","August","8-12_LM","Chydorus",0
"Lake Mohegan","August","8-12_LM","Corethrella",0
"Lake Mohegan","August","8-12_LM","Cypria",0
"Lake Mohegan","August","8-12_LM","Cypridopsis",0
"Lake Mohegan","August","8-12_LM","Daphnia",0
"Lake Mohegan","August","8-12_LM","Darwinula",0
"Lake Mohegan","August","8-12_LM","Dero",0
"Lake Mohegan","August","8-12_LM","Diaphanosoma",0
"Lake Mohegan","August","8-12_LM","Eucyclops",0
"Lake Mohegan","August","8-12_LM","Eudiaptomus",0.854205607476636
"Lake Mohegan","August","8-12_LM","Eumonhystera",0
"Lake Mohegan","August","8-12_LM","Ferrissia",0
"Lake Mohegan","August","8-12_LM","Folsomia",0
"Lake Mohegan","August","8-12_LM","Gallus",0
"Lake Mohegan","August","8-12_LM","Gyratrix",0
"Lake Mohegan","August","8-12_LM","Halichaetonotus",0
"Lake Mohegan","August","8-12_LM","Heterolepidoderma",0
"Lake Mohegan","August","8-12_LM","Horreolanus",0
"Lake Mohegan","August","8-12_LM","Hydra",0
"Lake Mohegan","August","8-12_LM","Ichthydium",0
"Lake Mohegan","August","8-12_LM","Isotoma",0
