"ASV","Module_Color","kIN_Within"
"16S_ASV_1","magenta",21.7500194111653
"16S_ASV_2","yellow",45.8440234740045
"16S_ASV_3","yellow",44.7551110450594
"16S_ASV_4","magenta",25.3349851059635
"16S_ASV_5","red",37.1755889949483
"16S_ASV_6","black",26.5431337801143
"16S_ASV_7","magenta",23.5032095921694
"16S_ASV_8","turquoise",8.80145594679808
"16S_ASV_9","yellow",45.0953956725772
"16S_ASV_10","red",36.3239781697402
"16S_ASV_11","black",26.2900913990861
"16S_ASV_12","magenta",22.8831170328685
"16S_ASV_13","yellow",45.1075897197984
"16S_ASV_14","magenta",28.6953358334899
"16S_ASV_15","yellow",44.2941347322817
"16S_ASV_16","magenta",17.7274800830551
"16S_ASV_17","yellow",42.0502487152944
"16S_ASV_18","pink",16.9081482474602
"16S_ASV_19","yellow",45.8724391199971
"16S_ASV_20","yellow",45.8360158513061
"16S_ASV_21","red",36.9254983080619
"16S_ASV_22","magenta",23.6534001807921
"16S_ASV_23","yellow",45.7848264441688
"16S_ASV_24","turquoise",17.4367846079347
"16S_ASV_25","yellow",37.0604005111552
"16S_ASV_26","yellow",45.8338098859912
"16S_ASV_27","black",25.199248590036
"16S_ASV_28","magenta",26.7521517451496
"16S_ASV_29","yellow",45.9133978384809
"16S_ASV_30","turquoise",8.5659865253722
"16S_ASV_31","magenta",29.2506691416189
"16S_ASV_32","magenta",23.9309715768142
"16S_ASV_33","yellow",45.9230100804371
"16S_ASV_34","yellow",44.8269650821527
"16S_ASV_35","yellow",45.8253628204592
"16S_ASV_36","red",36.4741259426325
"16S_ASV_37","magenta",28.0564372865431
"16S_ASV_38","red",35.6146006772521
"16S_ASV_39","turquoise",0.768163288213441
"16S_ASV_40","yellow",13.2298410980011
"16S_ASV_41","turquoise",1.94963433142762
"16S_ASV_42","yellow",45.7510159112116
"16S_ASV_43","yellow",45.7498912905308
"16S_ASV_44","red",36.9270557910614
"16S_ASV_45","turquoise",3.68136536351923
"16S_ASV_46","magenta",18.459646661601
"16S_ASV_47","black",28.987140817878
"16S_ASV_48","turquoise",1.88356914839427
"16S_ASV_49","magenta",29.1679688594999
"16S_ASV_50","magenta",22.6178360998884
"16S_ASV_51","magenta",22.5838373325452
"16S_ASV_52","red",36.0812274596415
"16S_ASV_53","magenta",28.122582332008
"16S_ASV_54","black",30.5190805482908
"16S_ASV_55","yellow",44.7250826021257
