ASV_16S,ASV_18S,Module_Color,Correlation_16S_18S,P_value_16S_18S,16S_Taxa2,16S_ASV_ID,18S_Taxa2,18S_ASV_ID
16S_ASV_240,18S_ASV_748,black,0.846071615032686,2.53055660339355e-13,FukuN18-freshwater-group,16S_ASV_240,Stramenopiles,18S_ASV_748
16S_ASV_415,18S_ASV_748,black,0.844013149169767,3.29482838369272e-13,FukuN18-freshwater-group,16S_ASV_415,Stramenopiles,18S_ASV_748
16S_ASV_358,18S_ASV_748,black,0.835220683084428,9.76099792523915e-13,FukuN18-freshwater-group,16S_ASV_358,Stramenopiles,18S_ASV_748
16S_ASV_519,18S_ASV_748,black,0.827606914393396,2.3778104783647e-12,FukuN18-freshwater-group,16S_ASV_519,Stramenopiles,18S_ASV_748
16S_ASV_196,18S_ASV_363,black,0.62435598810548,4.57686434439951e-6,Aphanizomenon,16S_ASV_196,Opisthokonta_Arthropoda,18S_ASV_363
16S_ASV_240,18S_ASV_916,black,0.607512084603112,9.62696866420184e-6,FukuN18-freshwater-group,16S_ASV_240,Stramenopiles,18S_ASV_916
16S_ASV_415,18S_ASV_916,black,0.601738536908673,1.23016382152933e-5,FukuN18-freshwater-group,16S_ASV_415,Stramenopiles,18S_ASV_916
16S_ASV_358,18S_ASV_916,black,0.594316021585486,1.67430723310685e-5,FukuN18-freshwater-group,16S_ASV_358,Stramenopiles,18S_ASV_916
16S_ASV_519,18S_ASV_916,black,0.592870491158081,1.77632179180691e-5,FukuN18-freshwater-group,16S_ASV_519,Stramenopiles,18S_ASV_916
16S_ASV_196,18S_ASV_267,black,0.572937523926704,3.90368216955977e-5,Aphanizomenon,16S_ASV_196,Opisthokonta_Arthropoda,18S_ASV_267
16S_ASV_519,18S_ASV_88,black,0.563781387048468,5.51106206161141e-5,FukuN18-freshwater-group,16S_ASV_519,Opisthokonta_Arthropoda,18S_ASV_88
16S_ASV_415,18S_ASV_88,black,0.557991931096653,6.81823849173821e-5,FukuN18-freshwater-group,16S_ASV_415,Opisthokonta_Arthropoda,18S_ASV_88
