"ASV_ID","Module_Color","MM","p.MM","GS","p.GS","Class","Order","Family","Genus","Species","Taxa2","Trait"
"18S_ASV_541","brown",0.491927598138233,0.00059897547709118,-0.480411006354434,0.000837816697256072,"Peronosporomycetes","Peronosporomycetes","Peronosporales","Peronosporales_X","Peronosporales_X_sp.","Stramenopiles","stemp"
"18S_ASV_508","brown",0.41689063645436,0.00438763121470494,-0.463522322327422,0.00134244962821795,"Peronosporomycetes","Peronosporomycetes","Peronosporales",NA,NA,"Stramenopiles","stemp"
"16S_ASV_866","brown",0.457789853898589,0.00156697595114293,-0.455325002966561,0.00167335571239665,"Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","stemp"
"16S_ASV_620","brown",0.417388380467989,0.00433620432079062,-0.446404671633295,0.00211388081461267,"Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","stemp"
"18S_ASV_525","brown",0.647730635997908,1.51237203710203e-06,-0.406110239974441,0.00564008584315034,"Chrysophyceae",NA,NA,NA,NA,"Stramenopiles","stemp"
"16S_ASV_370","brown",0.781354585023903,2.3956427620846e-10,-0.389874642296991,0.0081105446387426,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_1038","brown",0.40476818479187,0.00581591923344532,-0.385864066426634,0.00884826160283619,"Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","stemp"
"16S_ASV_301","brown",0.856495283528098,6.25254028387997e-14,-0.384949473463974,0.00902436418528589,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_323","brown",0.86485142561781,1.87862985047708e-14,-0.382524452816623,0.00950597629625217,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_408","brown",0.801912607688437,3.58131824144833e-11,-0.381428822636653,0.00973071822966646,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_860","brown",0.806851869478888,2.19448852919293e-11,-0.377780089558321,0.0105124048268367,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_437","brown",0.520166304128085,0.000249800243330482,-0.375032468348176,0.0111360443873679,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_305","brown",0.550740879404965,8.85228177115232e-05,-0.374782980888413,0.0111942093003136,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_429","brown",0.910332730187507,4.43589315624824e-18,-0.373362173002433,0.0115304374504785,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_369","brown",0.72591910993267,1.67432308132072e-08,-0.370595274450682,0.0122100681947542,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_290","brown",0.858791278932285,4.52795565315614e-14,-0.369364221419173,0.0125232817427618,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_105","brown",0.85816270436428,4.94897684517643e-14,-0.368785909527471,0.0126727726132214,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_312","brown",0.874991723335401,3.90335869228136e-15,-0.368635227435513,0.0127119724401377,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_480","brown",0.860384745288793,3.60727276469943e-14,-0.361551363321834,0.0146754026506593,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_1479","brown",0.700445646805543,8.49397134348995e-08,-0.361011844574385,0.0148349663147508,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_277","brown",0.707594216138961,5.47901735094158e-08,-0.360780941494223,0.0149037054862974,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_374","brown",0.833010062128776,1.26985545012218e-12,-0.358516544572923,0.0155922711847482,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"18S_ASV_187","brown",0.627594209775053,3.94727109509067e-06,-0.357044303707054,0.0160542853796547,"Arthropoda","Crustacea","Maxillopoda","Eucyclops","Eucyclops_serrulatus","Opisthokonta_Arthropoda","stemp"
"16S_ASV_476","brown",0.727761997237553,1.47840263140999e-08,-0.355353124615582,0.016599279022991,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_576","brown",0.664919415442518,6.29680663756001e-07,-0.354440876661258,0.0168997069018577,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_211","brown",0.846110308094723,2.51794163819041e-13,-0.344424437170628,0.0205123837905619,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_353","brown",0.875346072266994,3.6857999275421e-15,-0.343909194300135,0.020714553882172,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_174","brown",0.752298874354626,2.5479744442658e-09,-0.343874109586576,0.0207283810678026,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_346","brown",0.763485521034618,1.06697765551684e-09,-0.337752610196493,0.023262692444541,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"18S_ASV_86","brown",0.323911456659612,0.0299603618290458,-0.336674235241726,0.0237349719414887,"Cryptophyceae","Cryptophyceae_X","Basal_Cryptophyceae-1","Basal_Cryptophyceae-1_X","Basal_Cryptophyceae-1_X_sp.","Cryptophyta","stemp"
"16S_ASV_842","brown",0.614350058011238,7.15565496236572e-06,-0.321733889631679,0.0311469985063438,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"18S_ASV_236","brown",0.524994578802388,0.00021344093967317,-0.321496369719993,0.031278752387709,"Arthropoda","Crustacea","Maxillopoda","Eucyclops","Eucyclops_serrulatus","Opisthokonta_Arthropoda","stemp"
"16S_ASV_440","brown",0.723294147704924,1.99562862378889e-08,-0.321492589166115,0.0312808532090748,"Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA,"Sediminibacterium","stemp"
"16S_ASV_400","brown",0.881771311915711,1.26279530819093e-15,-0.31459520379605,0.0353129981665669,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_516","brown",0.696676016550685,1.06489792053963e-07,-0.314543665255226,0.0353446643058153,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_315","brown",0.876121115918714,3.24930476368126e-15,-0.312924000336918,0.0363517842805328,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_494","brown",0.564499593454012,5.36596276209781e-05,-0.304587989291002,0.0419150686975866,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_714","brown",0.494851223999834,0.000549025140974185,-0.30347948826404,0.0427045965044479,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_870","brown",0.782894945835109,2.09257590666586e-10,-0.299302250487249,0.0457894976468546,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_256","brown",0.824880732891891,3.23657352599884e-12,-0.296578064487901,0.047897124167031,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_782","brown",0.768603081663454,7.05119596491944e-10,-0.296108824333051,0.0482679772526138,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_390","brown",0.805367643544231,2.5461578886256e-11,-0.29332927772153,0.0505127024969114,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_385","brown",0.42992999379664,0.00320295911233783,-0.291312112283389,0.0521939787702257,"Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA,NA,NA,"stemp"
"18S_ASV_904","brown",0.498964132199156,0.000485085465578126,-0.28999669508117,0.0533144675750186,"Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Protosiphon",NA,"Chlorophyta","stemp"
"16S_ASV_570","brown",0.7149827473639,3.43477101116633e-08,-0.28346986694471,0.0591639537568355,"Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA,"Sediminibacterium","stemp"
"16S_ASV_621","brown",0.5770550315599,3.33166574671408e-05,-0.280820698968137,0.0616800967432815,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_79","brown",0.739394356283546,6.58168298972903e-09,-0.278438953047185,0.0640145065667804,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_795","brown",0.559453983565413,6.46383624910119e-05,-0.276656856843089,0.0658067811822617,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
