"ASV","Module_Color","LM-6-1","LM-6-16","LM-6-19","LM-6-8","LM-7-14","LM-7-22","LM-7-28","LM-7-8","LM-8-12","LM-8-18","LM-8-26","LM-8-4","LM-9-1","LM-9-16","LM-9-9","LR-6-1","LR-6-16","LR-6-19","LR-6-8","LR-7-14","LR-7-22","LR-7-28","LR-7-8","LR-8-12","LR-8-18","LR-8-26","LR-8-4","LR-9-1","LR-9-16","LR-9-9","TTL-6-1","TTL-6-16","TTL-6-19","TTL-6-8","TTL-7-14","TTL-7-22","TTL-7-28","TTL-7-8","TTL-8-12","TTL-8-18","TTL-8-26","TTL-8-4","TTL-9-1","TTL-9-16","TTL-9-9"
"16S_ASV_1","magenta",0.0706400733300854,0,0,0.0973706214633125,0.216194018478961,0.169634258832919,0.144193445876246,0.0784497160655482,0.429105740496379,0.271757788129764,0.149850224625655,0.186003956203142,0.132783296611241,0.279303858505239,0,0,0,0,0.102367191600472,0.0718077569538916,0.127021249682582,0.103176431004552,0.183754732537352,0.261781602584603,0.177773619379177,0.248414801302822,0,0.166166915416723,0.240591420331079,0.229625515956256,0,0,0,0,0,0,0,0,0.0718077569538916,0.0805420756381644,0.0729567540219444,0.110192476616423,0.180558754257965,0.118203451253437,0.143035246832126
"16S_ASV_10","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260915368586817,0.324462562233721,0.43992351743382,0.270971812770838,0.324462562233721,0.271420070832048,0.0854046018947423,0.110256866942604,0,0.215495064965665,0.0922475132217629,0,0,0,0,0,0,0.0986167397879246,0,0,0,0.175027350160361,0,0.429011155285157,0.104598848163826,0.266447758434396
"16S_ASV_100","yellow",0,0,0,0,0,0.123573889265502,0.343856579542894,0,0.350765803941404,0.509079859810739,0.581491732746953,0.365983816005109,0,0,0.110527846656677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_1002","green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414243446702654,0,0,0.339683110243379,0.224267380570973,0.376844575812797,0.36080121229411,0.217571317288168,0.297921795862109,0.210662522117372,0,0.188422287906398,0,0.417799249661547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_101","black",0,0,0.155179123661384,0,0,0,0,0.286136165887977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120201232323921,0.513393299050184,0,0.315950737697333,0.626683372235755,0.306811179432674,0.171273176170867,0,0,0,0,0,0,0
"16S_ASV_1012","grey",0,0,0,0,0,0,0,0,0.487950036474267,0,0,0,0,0,0,0,0,0,0,0,0.481812055829716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0.404586796856344,0,0.303746448146978,0,0.322748612183951,0.313391585264004
"16S_ASV_1014","brown",0.314800093867678,0.499248684774681,0,0,0,0,0,0.383597637045834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427999045773683,0.273998312175596,0,0,0,0.496232048789925,0
"16S_ASV_1018","brown",0.268866428968932,0,0.226284818927626,0,0,0,0,0.295549314988821,0,0,0,0,0,0,0,0,0.3338349639156,0,0.226284818927626,0,0,0,0,0,0,0,0,0,0,0,0.251501515001784,0,0,0.197880333803094,0.251501515001784,0,0,0,0.439057039958761,0.245440346836908,0,0.182023432888411,0.268866428968932,0,0.320015059886589
"16S_ASV_102","yellow",0,0,0,0,0,0.117067015501717,0.329777676093861,0,0.35557950110938,0.489952089900511,0.59544394571154,0.37612195851163,0,0,0.122600758828927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_1028","yellow",0,0,0.548554331040548,0,0.321470784124456,0,0,0.306960785788931,0.38592249249398,0.306960785788931,0.264402750722578,0,0.434108106379409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
