"ASV","Module_Color"
"16S_ASV_6","black"
"16S_ASV_11","black"
"16S_ASV_27","black"
"16S_ASV_47","black"
"16S_ASV_54","black"
"16S_ASV_67","black"
"16S_ASV_69","black"
"16S_ASV_71","black"
"16S_ASV_85","black"
"16S_ASV_90","black"
"16S_ASV_95","black"
"16S_ASV_101","black"
"16S_ASV_106","black"
"16S_ASV_117","black"
"16S_ASV_124","black"
"16S_ASV_125","black"
"16S_ASV_141","black"
"16S_ASV_145","black"
"16S_ASV_146","black"
"16S_ASV_148","black"
"16S_ASV_157","black"
"16S_ASV_158","black"
"16S_ASV_159","black"
"16S_ASV_161","black"
"16S_ASV_164","black"
"16S_ASV_172","black"
"16S_ASV_183","black"
"16S_ASV_190","black"
"16S_ASV_196","black"
"16S_ASV_200","black"
"16S_ASV_201","black"
"16S_ASV_209","black"
"16S_ASV_210","black"
"16S_ASV_213","black"
"16S_ASV_214","black"
"16S_ASV_228","black"
"16S_ASV_231","black"
"16S_ASV_236","black"
"16S_ASV_237","black"
"16S_ASV_240","black"
"16S_ASV_245","black"
"16S_ASV_309","black"
"16S_ASV_334","black"
"16S_ASV_358","black"
"16S_ASV_415","black"
"16S_ASV_519","black"
"16S_ASV_562","black"
"16S_ASV_584","black"
"16S_ASV_864","black"
"18S_ASV_2","black"
"18S_ASV_27","black"
"18S_ASV_32","black"
"18S_ASV_88","black"
"18S_ASV_267","black"
"18S_ASV_363","black"
"18S_ASV_395","black"
"18S_ASV_456","black"
"18S_ASV_721","black"
"18S_ASV_738","black"
"18S_ASV_748","black"
"18S_ASV_916","black"
"16S_ASV_62","blue"
"16S_ASV_143","blue"
"16S_ASV_169","blue"
"16S_ASV_244","blue"
"16S_ASV_250","blue"
"16S_ASV_259","blue"
"16S_ASV_261","blue"
"16S_ASV_269","blue"
"16S_ASV_272","blue"
"16S_ASV_273","blue"
"16S_ASV_292","blue"
"16S_ASV_306","blue"
"16S_ASV_314","blue"
"16S_ASV_319","blue"
"16S_ASV_320","blue"
"16S_ASV_330","blue"
"16S_ASV_341","blue"
"16S_ASV_348","blue"
"16S_ASV_355","blue"
"16S_ASV_359","blue"
"16S_ASV_365","blue"
"16S_ASV_371","blue"
"16S_ASV_375","blue"
"16S_ASV_386","blue"
"16S_ASV_388","blue"
"16S_ASV_393","blue"
"16S_ASV_395","blue"
"16S_ASV_399","blue"
"16S_ASV_406","blue"
"16S_ASV_416","blue"
"16S_ASV_443","blue"
"16S_ASV_449","blue"
"16S_ASV_463","blue"
"16S_ASV_467","blue"
"16S_ASV_474","blue"
"16S_ASV_475","blue"
"16S_ASV_488","blue"
"16S_ASV_499","blue"
"16S_ASV_503","blue"
"16S_ASV_526","blue"
"16S_ASV_550","blue"
"16S_ASV_568","blue"
"16S_ASV_579","blue"
"16S_ASV_595","blue"
"16S_ASV_815","blue"
"16S_ASV_1147","blue"
"16S_ASV_1357","blue"
"18S_ASV_8","blue"
"18S_ASV_11","blue"
"18S_ASV_16","blue"
"18S_ASV_18","blue"
"18S_ASV_31","blue"
"18S_ASV_47","blue"
"18S_ASV_62","blue"
"18S_ASV_64","blue"
"18S_ASV_79","blue"
"18S_ASV_82","blue"
"18S_ASV_83","blue"
"18S_ASV_85","blue"
"18S_ASV_87","blue"
"18S_ASV_89","blue"
"18S_ASV_98","blue"
"18S_ASV_102","blue"
"18S_ASV_104","blue"
"18S_ASV_114","blue"
"18S_ASV_119","blue"
"18S_ASV_123","blue"
"18S_ASV_127","blue"
"18S_ASV_135","blue"
"18S_ASV_141","blue"
"18S_ASV_155","blue"
"18S_ASV_160","blue"
"18S_ASV_188","blue"
"18S_ASV_190","blue"
"18S_ASV_192","blue"
"18S_ASV_203","blue"
"18S_ASV_207","blue"
"18S_ASV_212","blue"
"18S_ASV_216","blue"
"18S_ASV_224","blue"
"18S_ASV_238","blue"
"18S_ASV_261","blue"
"18S_ASV_272","blue"
"18S_ASV_279","blue"
"18S_ASV_280","blue"
"18S_ASV_283","blue"
"18S_ASV_294","blue"
"18S_ASV_307","blue"
"18S_ASV_309","blue"
"18S_ASV_315","blue"
"18S_ASV_321","blue"
"18S_ASV_326","blue"
"18S_ASV_328","blue"
"18S_ASV_398","blue"
"18S_ASV_403","blue"
"18S_ASV_413","blue"
"18S_ASV_431","blue"
"18S_ASV_443","blue"
"18S_ASV_454","blue"
"18S_ASV_597","blue"
"18S_ASV_599","blue"
"18S_ASV_693","blue"
"18S_ASV_734","blue"
"18S_ASV_827","blue"
"18S_ASV_1506","blue"
"16S_ASV_79","brown"
"16S_ASV_105","brown"
"16S_ASV_128","brown"
"16S_ASV_174","brown"
"16S_ASV_195","brown"
"16S_ASV_199","brown"
"16S_ASV_211","brown"
"16S_ASV_247","brown"
"16S_ASV_256","brown"
"16S_ASV_277","brown"
"16S_ASV_290","brown"
"16S_ASV_293","brown"
"16S_ASV_301","brown"
"16S_ASV_305","brown"
"16S_ASV_312","brown"
"16S_ASV_315","brown"
"16S_ASV_323","brown"
"16S_ASV_329","brown"
"16S_ASV_346","brown"
"16S_ASV_353","brown"
"16S_ASV_369","brown"
"16S_ASV_370","brown"
"16S_ASV_373","brown"
"16S_ASV_374","brown"
"16S_ASV_377","brown"
"16S_ASV_385","brown"
"16S_ASV_390","brown"
"16S_ASV_394","brown"
"16S_ASV_400","brown"
"16S_ASV_408","brown"
"16S_ASV_418","brown"
"16S_ASV_427","brown"
"16S_ASV_429","brown"
"16S_ASV_437","brown"
"16S_ASV_440","brown"
"16S_ASV_453","brown"
"16S_ASV_456","brown"
"16S_ASV_469","brown"
"16S_ASV_473","brown"
"16S_ASV_476","brown"
"16S_ASV_480","brown"
"16S_ASV_494","brown"
"16S_ASV_497","brown"
"16S_ASV_501","brown"
"16S_ASV_504","brown"
"16S_ASV_505","brown"
"16S_ASV_516","brown"
"16S_ASV_537","brown"
"16S_ASV_547","brown"
"16S_ASV_570","brown"
"16S_ASV_576","brown"
"16S_ASV_578","brown"
"16S_ASV_586","brown"
"16S_ASV_606","brown"
"16S_ASV_620","brown"
"16S_ASV_621","brown"
"16S_ASV_630","brown"
"16S_ASV_638","brown"
"16S_ASV_650","brown"
"16S_ASV_667","brown"
"16S_ASV_675","brown"
"16S_ASV_714","brown"
"16S_ASV_742","brown"
"16S_ASV_759","brown"
"16S_ASV_762","brown"
"16S_ASV_782","brown"
"16S_ASV_783","brown"
"16S_ASV_784","brown"
"16S_ASV_795","brown"
"16S_ASV_825","brown"
"16S_ASV_842","brown"
"16S_ASV_854","brown"
"16S_ASV_860","brown"
"16S_ASV_866","brown"
"16S_ASV_870","brown"
"16S_ASV_928","brown"
"16S_ASV_988","brown"
"16S_ASV_1014","brown"
"16S_ASV_1018","brown"
"16S_ASV_1038","brown"
"16S_ASV_1054","brown"
"16S_ASV_1059","brown"
"16S_ASV_1102","brown"
"16S_ASV_1212","brown"
"16S_ASV_1297","brown"
"16S_ASV_1479","brown"
"16S_ASV_1529","brown"
"18S_ASV_86","brown"
"18S_ASV_143","brown"
"18S_ASV_187","brown"
"18S_ASV_236","brown"
"18S_ASV_257","brown"
"18S_ASV_412","brown"
"18S_ASV_508","brown"
"18S_ASV_525","brown"
"18S_ASV_541","brown"
"18S_ASV_679","brown"
"18S_ASV_708","brown"
"18S_ASV_904","brown"
"18S_ASV_932","brown"
"18S_ASV_983","brown"
"18S_ASV_1133","brown"
"18S_ASV_1911","brown"
"16S_ASV_177","green"
"16S_ASV_270","green"
"16S_ASV_327","green"
"16S_ASV_378","green"
"16S_ASV_417","green"
"16S_ASV_434","green"
"16S_ASV_435","green"
"16S_ASV_457","green"
"16S_ASV_487","green"
"16S_ASV_540","green"
"16S_ASV_541","green"
"16S_ASV_544","green"
"16S_ASV_558","green"
"16S_ASV_580","green"
"16S_ASV_598","green"
"16S_ASV_613","green"
"16S_ASV_645","green"
"16S_ASV_682","green"
"16S_ASV_702","green"
"16S_ASV_711","green"
"16S_ASV_840","green"
"16S_ASV_890","green"
"16S_ASV_1002","green"
"16S_ASV_1174","green"
"16S_ASV_1323","green"
"18S_ASV_5","green"
"18S_ASV_6","green"
"18S_ASV_13","green"
"18S_ASV_30","green"
"18S_ASV_34","green"
"18S_ASV_44","green"
"18S_ASV_45","green"
"18S_ASV_50","green"
"18S_ASV_52","green"
"18S_ASV_55","green"
"18S_ASV_69","green"
"18S_ASV_70","green"
"18S_ASV_72","green"
"18S_ASV_75","green"
"18S_ASV_77","green"
"18S_ASV_81","green"
"18S_ASV_84","green"
"18S_ASV_91","green"
"18S_ASV_93","green"
"18S_ASV_97","green"
"18S_ASV_129","green"
"18S_ASV_142","green"
"18S_ASV_146","green"
"18S_ASV_150","green"
"18S_ASV_157","green"
"18S_ASV_177","green"
"18S_ASV_181","green"
"18S_ASV_182","green"
"18S_ASV_183","green"
"18S_ASV_196","green"
"18S_ASV_208","green"
"18S_ASV_217","green"
"18S_ASV_227","green"
